 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0597,   0.1838,   0.1017,   0.0643,   0.5181, 716.6377, 799.7640,  33.7076, 115.6263, 567.5453,   0.1288,  21.1632,  17.9329, 536.9415, 554.8744,   0.0323,   0.0000,   0.0257,   0.0241,   0.0290,   0.0176,  16.7279,   0.0000,   0.4687,   0.6032,   0.0829,   0.0502,    0.026,    0.123,   21.014,    2.621,    7.988,  525.345,    0.9870,    0.0000,   13.7244,   12.2114,    0.7368,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0646,   0.1923,   0.0987,   0.0389,   0.4923,1101.7085, 799.9625,  23.1673,  93.5100, 984.8453,   0.1517,  20.7074,  29.2302, 525.6608, 554.8909,   0.0466,   0.0000,   0.0269,   0.0244,   0.0335,   0.0203,  27.9766,   0.0000,   0.4904,   0.6095,   0.0957,   0.0580,    0.038,    0.109,   20.561,    3.754,    6.900,  514.019,    0.9880,    0.0000,   12.4696,   12.4705,    0.8137,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0706,   0.2061,   0.1089,   0.0419,   0.4707,1226.4808, 799.8130,  29.1330, 111.3579,1086.1510,   0.1804,  20.2747,  40.1511, 514.7562, 554.9073,   0.0631,   0.0000,   0.0289,   0.0253,   0.0393,   0.0238,  38.8116,   0.0000,   0.5256,   0.6333,   0.1124,   0.0681,    0.042,    0.101,   20.131,    4.234,    6.284,  503.275,    0.9630,    0.0000,   12.3374,   12.3125,    0.8320,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0774,   0.2251,   0.1231,   0.0468,   0.4679,1326.1034, 798.4667,  25.6243,  95.3152,1206.5227,   0.2162,  19.8467,  50.9892, 503.9158, 554.9050,   0.0828,   0.0000,   0.0315,   0.0270,   0.0467,   0.0283,  49.5269,   0.0000,   0.5740,   0.6741,   0.1334,   0.0808,    0.044,    0.097,   19.706,    4.421,    5.928,  492.644,    0.9227,    0.0000,   12.5143,   12.4740,    0.8732,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0852,   0.2470,   0.1299,   0.0514,   0.4628,1077.3901, 799.2376,  30.9603,  91.2659, 954.4041,   0.2506,  19.4271,  61.6347, 493.2868, 554.9216,   0.0980,   0.0000,   0.0346,   0.0284,   0.0558,   0.0338,  60.0383,   0.0002,   0.6299,   0.7103,   0.1594,   0.0966,    0.045,    0.096,   19.287,    4.466,    5.770,  482.169,    0.8816,    0.0000,   12.6060,   12.5648,    0.9406,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0925,   0.2677,   0.1409,   0.0554,   0.4394,1469.5847, 799.7333,  31.4749,  91.0956,1346.5294,   0.2889,  19.0342,  71.5305, 483.4127, 554.9432,   0.1146,   0.0019,   0.0375,   0.0299,   0.0653,   0.0396,  69.7041,   0.0954,   0.6827,   0.7484,   0.1867,   0.1132,    0.045,    0.098,   18.892,    4.453,    5.831,  472.303,    0.8265,    0.0000,   12.1247,   12.0695,    0.9962,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.1003,   0.2898,   0.1512,   0.0591,   0.4222, 932.6990, 799.9383,  41.0238, 105.9461, 785.5333,   0.3306,  18.6624,  80.8039, 474.1505, 554.9545,   0.1318,   0.0041,   0.0406,   0.0315,   0.0764,   0.0463,  78.7248,   0.2035,   0.7390,   0.7863,   0.2182,   0.1322,    0.044,    0.101,   18.517,    4.419,    6.033,  462.918,    0.7815,    0.0000,   11.7553,   11.7103,    1.0512,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.1100,   0.3194,   0.1773,   0.0692,   0.4685, 954.8821, 799.9571,  43.4460, 100.1408, 811.2839,   0.3840,  18.2487,  91.1893, 463.7455, 554.9348,   0.1574,   0.0044,   0.0447,   0.0337,   0.0895,   0.0543,  88.9022,   0.2190,   0.8145,   0.8429,   0.2557,   0.1550,    0.044,    0.103,   18.102,    4.366,    6.123,  452.555,    0.7008,    0.0000,   13.1298,   13.0491,    1.1285,    0.0000,    2.2047,    0.1102,    2.2047,    0.1102,
    9,   0.1209,   0.3532,   0.1994,   0.0783,   0.4800,1027.1952, 798.0586,  55.6443, 105.7230, 867.7323,   0.4455,  17.8284, 101.7417, 453.1942, 554.9359,   0.1856,   0.0055,   0.0494,   0.0362,   0.1051,   0.0637,  99.1772,   0.2771,   0.9007,   0.9046,   0.3002,   0.1820,    0.043,    0.105,   17.681,    4.303,    6.216,  442.014,    0.6606,    0.0000,   13.5967,   13.5565,    1.2207,    0.0000,    1.8037,    0.0902,    1.8037,    0.0902,
   10,   0.1331,   0.3899,   0.2040,   0.0819,   0.4096,1082.7830, 799.9452,  46.4866,  92.8682, 941.5482,   0.5023,  17.4842, 110.2017, 444.7447, 554.9464,   0.2056,   0.0065,   0.0546,   0.0384,   0.1227,   0.0744, 107.3587,   0.3262,   0.9943,   0.9592,   0.3507,   0.2126,    0.043,    0.115,   17.327,    4.260,    6.683,  433.176,    0.6255,    0.0000,   11.8179,   11.7829,    1.3231,    0.0000,    2.3536,    0.1177,    2.3536,    0.1177,
