 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0597,   0.1838,   0.1017,   0.0643,   0.1360, 716.6377, 799.7640,  33.7076, 115.6263, 567.5453,   0.1288,   4.0449,  10.4641, 106.9791, 117.4432,   0.0323,   0.0000,   0.0257,   0.0241,   0.0290,   0.0176,   9.2591,   0.0000,   0.4687,   0.6032,   0.0829,   0.0502,    0.008,    0.123,    3.913,    0.844,    7.988,   97.832,    0.3155,    0.0000,    6.2556,    4.0712,    0.7368,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0646,   0.1923,   0.0987,   0.0389,   0.1263,1101.7085, 799.9625,  23.1673,  93.5100, 984.8453,   0.1517,   3.9553,  13.2724, 104.1748, 117.4472,   0.0466,   0.0000,   0.0269,   0.0244,   0.0335,   0.0203,  12.0188,   0.0000,   0.4904,   0.6095,   0.0957,   0.0580,    0.012,    0.109,    3.834,    1.178,    6.842,   95.860,    0.2954,    0.0000,    3.8312,    3.8111,    0.8137,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0706,   0.2061,   0.1089,   0.0419,   0.1190,1226.4808, 799.8130,  29.1330, 111.3579,1086.1510,   0.1804,   3.8745,  15.7427, 101.7011, 117.4438,   0.0631,   0.0000,   0.0289,   0.0253,   0.0393,   0.0238,  14.4032,   0.0000,   0.5256,   0.6333,   0.1124,   0.0681,    0.013,    0.101,    3.760,    1.301,    6.122,   94.004,    0.2743,    0.0000,    3.5676,    3.5465,    0.8320,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0774,   0.2251,   0.1231,   0.0468,   0.1176,1326.1034, 798.4667,  25.6243,  95.3152,1206.5227,   0.2162,   3.7975,  18.0008,  99.4424, 117.4431,   0.0828,   0.0000,   0.0315,   0.0270,   0.0467,   0.0283,  16.5385,   0.0000,   0.5740,   0.6741,   0.1334,   0.0808,    0.013,    0.097,    3.687,    1.340,    5.666,   92.183,    0.2534,    0.0000,    3.4461,    3.4253,    0.8732,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0852,   0.2470,   0.1299,   0.0514,   0.1163,1077.3901, 799.2376,  30.9603,  91.2659, 954.4041,   0.2506,   3.7253,  20.0318,  97.4149, 117.4467,   0.0980,   0.0000,   0.0346,   0.0284,   0.0558,   0.0338,  18.4354,   0.0002,   0.6299,   0.7103,   0.1594,   0.0966,    0.013,    0.096,    3.616,    1.344,    5.430,   90.406,    0.2351,    0.0000,    3.3315,    3.3132,    0.9406,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0925,   0.2677,   0.1409,   0.0554,   0.1112,1469.5847, 799.7333,  31.4749,  91.0956,1346.5294,   0.2889,   3.6614,  21.7339,  95.7130, 117.4468,   0.1146,   0.0019,   0.0375,   0.0299,   0.0653,   0.0396,  19.9075,   0.0954,   0.6827,   0.7484,   0.1867,   0.1132,    0.013,    0.098,    3.550,    1.342,    5.398,   88.758,    0.2145,    0.0000,    3.0990,    3.0783,    0.9962,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.1003,   0.2898,   0.1512,   0.0591,   0.1083, 932.6990, 799.9383,  41.0238, 105.9461, 785.5333,   0.3306,   3.6034,  23.1868,  94.2586, 117.4454,   0.1318,   0.0041,   0.0406,   0.0315,   0.0764,   0.0463,  21.1077,   0.2035,   0.7390,   0.7863,   0.2182,   0.1322,    0.013,    0.101,    3.488,    1.345,    5.500,   87.212,    0.2010,    0.0000,    2.9388,    2.9254,    1.0512,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.1100,   0.3194,   0.1773,   0.0692,   0.1217, 954.8821, 799.9571,  43.4460, 100.1408, 811.2839,   0.3840,   3.5363,  24.8763,  92.5674, 117.4437,   0.1574,   0.0044,   0.0447,   0.0337,   0.0895,   0.0543,  22.5895,   0.2186,   0.8145,   0.8429,   0.2558,   0.1550,    0.013,    0.103,    3.420,    1.348,    5.536,   85.501,    0.1818,    0.0000,    3.2816,    3.2624,    1.1285,    0.0000,    2.2047,    0.1102,    2.2047,    0.1102,
    9,   0.1211,   0.3536,   0.1995,   0.0784,   0.1264,1027.1952, 798.0585,  55.6630, 105.7226, 867.7150,   0.4454,   3.4695,  26.5294,  90.9140, 117.4434,   0.1853,   0.0053,   0.0495,   0.0362,   0.1053,   0.0638,  23.9752,   0.2644,   0.9016,   0.9048,   0.3009,   0.1824,    0.013,    0.105,    3.351,    1.350,    5.615,   83.779,    0.1703,    0.0000,    3.3715,    3.3600,    1.2209,    0.0000,    1.7953,    0.0898,    1.7953,    0.0898,
   10,   0.1334,   0.3907,   0.2042,   0.0822,   0.1103,1082.7830, 799.9452,  46.5350,  92.8677, 941.5006,   0.5021,   3.4247,  27.5178,  89.9224, 117.4402,   0.2046,   0.0059,   0.0547,   0.0384,   0.1237,   0.0749,  24.7006,   0.2939,   0.9962,   0.9597,   0.3533,   0.2141,    0.014,    0.115,    3.297,    1.365,    5.987,   82.412,    0.1576,    0.0000,    2.8424,    2.8297,    1.3234,    0.0000,    2.1059,    0.1053,    2.1059,    0.1053,
