 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0590,   0.1741,   0.0791,   0.0612,   0.2997, 716.6377, 799.7633,  38.9881, 115.5063, 562.3851,   0.1104,  11.3807,  13.6947, 291.2586, 304.9533,   0.0183,   0.0000,   0.0244,   0.0221,   0.0284,   0.0172,  12.5683,   0.0000,   0.4440,   0.5522,   0.0811,   0.0491,    0.016,    0.122,   11.242,    1.605,    7.953,  281.059,    0.6416,    0.0000,    9.4609,    7.6025,    0.7114,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0621,   0.1687,   0.0729,   0.0320,   0.2823,1101.7085, 799.9624,  25.2010,  93.4972, 982.8205,   0.1191,  11.1310,  20.1678, 284.7858, 304.9536,   0.0250,   0.0000,   0.0236,   0.0202,   0.0313,   0.0190,  19.0890,   0.0000,   0.4303,   0.5048,   0.0895,   0.0542,    0.023,    0.105,   11.003,    2.273,    6.742,  275.080,    0.6910,    0.0000,    7.4566,    7.5059,    0.7097,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0655,   0.1687,   0.0749,   0.0319,   0.2675,1226.4808, 799.8140,  29.5140, 111.3839,1085.7418,   0.1316,  10.8939,  26.3962, 278.5511, 304.9473,   0.0329,   0.0000,   0.0236,   0.0193,   0.0347,   0.0211,  25.3236,   0.0000,   0.4302,   0.4830,   0.0993,   0.0601,    0.025,    0.093,   10.776,    2.533,    5.899,  269.390,    0.7288,    0.0000,    7.2969,    7.3348,    0.6652,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0694,   0.1742,   0.0808,   0.0337,   0.2638,1326.1034, 798.4611,  24.8989,  95.3480,1207.2203,   0.1486,  10.6600,  32.5770, 272.3717, 304.9487,   0.0427,   0.0000,   0.0244,   0.0192,   0.0388,   0.0235,  31.4737,   0.0000,   0.4442,   0.4812,   0.1108,   0.0671,    0.026,    0.084,   10.550,    2.612,    5.270,  263.752,    0.7370,    0.0000,    7.3592,    7.3674,    0.6505,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0735,   0.1816,   0.0800,   0.0348,   0.2590,1077.3901, 799.2433,  27.8080,  91.3787, 957.4319,   0.1628,  10.4316,  38.5993, 266.3413, 304.9406,   0.0487,   0.0000,   0.0254,   0.0189,   0.0434,   0.0263,  37.4642,   0.0001,   0.4630,   0.4728,   0.1241,   0.0752,    0.026,    0.078,   10.328,    2.606,    4.817,  258.199,    0.7188,    0.0000,    7.3338,    7.3156,    0.6599,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0773,   0.1888,   0.0840,   0.0357,   0.2443,1469.5847, 799.7347,  27.4238,  91.1957,1350.4866,   0.1797,  10.2187,  44.1416, 260.7882, 304.9298,   0.0562,   0.0010,   0.0264,   0.0190,   0.0480,   0.0291,  42.9155,   0.0490,   0.4816,   0.4751,   0.1372,   0.0832,    0.026,    0.074,   10.119,    2.569,    4.552,  252.975,    0.6917,    0.0000,    6.9729,    6.9458,    0.6586,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.0812,   0.1969,   0.0859,   0.0365,   0.2334, 932.6990, 799.9391,  34.1223, 106.1227, 792.2589,   0.1971,  10.0176,  49.2924, 255.6205, 304.9130,   0.0632,   0.0020,   0.0276,   0.0190,   0.0532,   0.0322,  47.9695,   0.1023,   0.5020,   0.4748,   0.1519,   0.0920,    0.025,    0.072,    9.920,    2.523,    4.413,  248.000,    0.6835,    0.0000,    6.6984,    6.6903,    0.6648,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.0853,   0.2069,   0.0960,   0.0409,   0.2575, 954.8821, 799.9577,  34.3411, 100.3892, 820.1437,   0.2193,   9.7932,  55.1325, 249.8096, 304.9421,   0.0729,   0.0032,   0.0290,   0.0194,   0.0590,   0.0358,  53.6860,   0.1620,   0.5276,   0.4862,   0.1686,   0.1022,    0.025,    0.069,    9.700,    2.466,    4.207,  242.492,    0.6444,    0.0000,    7.5042,    7.4650,    0.6783,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    9,   0.0904,   0.2211,   0.1033,   0.0446,   0.2624,1027.1952, 798.0945,  41.9422, 106.0810, 881.0442,   0.2434,   9.5650,  61.0320, 243.9147, 304.9467,   0.0835,   0.0034,   0.0310,   0.0200,   0.0657,   0.0398,  59.4981,   0.1686,   0.5638,   0.4998,   0.1879,   0.1138,    0.024,    0.066,    9.475,    2.404,    4.018,  236.870,    0.6226,    0.0000,    7.7054,    7.6836,    0.7033,    0.0000,    1.2039,    0.0602,    1.2039,    0.0602,
   10,   0.0957,   0.2355,   0.1028,   0.0446,   0.2227,1082.7830, 799.9462,  34.2710,  93.0404, 953.6277,   0.2653,   9.3782,  65.7580, 239.1936, 304.9516,   0.0907,   0.0038,   0.0330,   0.0204,   0.0732,   0.0443,  64.1209,   0.1917,   0.6005,   0.5092,   0.2090,   0.1267,    0.024,    0.068,    9.286,    2.359,    4.078,  232.155,    0.6016,    0.0000,    6.6772,    6.6561,    0.7306,    0.0000,    1.0087,    0.0504,    1.0087,    0.0504,
