 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0590,   0.1741,   0.0791,   0.0612,   0.2451, 716.6377, 799.7633,  38.9881, 115.5063, 562.3851,   0.1104,   8.9352,  12.6238, 229.8317, 242.4555,   0.0183,   0.0000,   0.0244,   0.0221,   0.0284,   0.0172,  11.4974,   0.0000,   0.4440,   0.5522,   0.0811,   0.0491,    0.014,    0.122,    8.799,    1.351,    7.953,  219.986,    0.5416,    0.0000,    8.3899,    6.4315,    0.7114,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0621,   0.1687,   0.0729,   0.0320,   0.2300,1101.7085, 799.9624,  25.2010,  93.4972, 982.8205,   0.1191,   8.7377,  17.8944, 224.5556, 242.4500,   0.0250,   0.0000,   0.0236,   0.0202,   0.0313,   0.0190,  16.8156,   0.0000,   0.4303,   0.5048,   0.0895,   0.0542,    0.019,    0.105,    8.614,    1.905,    6.734,  215.340,    0.5764,    0.0000,    6.2328,    6.2677,    0.7097,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0655,   0.1687,   0.0749,   0.0319,   0.2173,1226.4808, 799.8140,  29.5140, 111.3839,1085.7418,   0.1316,   8.5511,  22.9070, 219.5385, 242.4455,   0.0329,   0.0000,   0.0236,   0.0193,   0.0347,   0.0211,  21.8344,   0.0000,   0.4302,   0.4830,   0.0993,   0.0601,    0.021,    0.093,    8.437,    2.114,    5.899,  210.923,    0.6024,    0.0000,    6.0356,    6.0615,    0.6652,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0694,   0.1742,   0.0808,   0.0337,   0.2138,1326.1034, 798.4611,  24.8989,  95.3480,1207.2203,   0.1486,   8.3671,  27.8538, 214.5918, 242.4456,   0.0427,   0.0000,   0.0244,   0.0192,   0.0388,   0.0235,  26.7505,   0.0000,   0.4442,   0.4812,   0.1108,   0.0671,    0.022,    0.084,    8.262,    2.172,    5.270,  206.541,    0.6087,    0.0000,    6.0554,    6.0617,    0.6505,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0735,   0.1816,   0.0800,   0.0348,   0.2095,1077.3901, 799.2433,  27.8080,  91.3787, 957.4319,   0.1628,   8.1879,  32.6485, 209.7936, 242.4421,   0.0487,   0.0000,   0.0254,   0.0189,   0.0434,   0.0263,  31.5133,   0.0001,   0.4630,   0.4728,   0.1241,   0.0752,    0.022,    0.078,    8.089,    2.160,    4.817,  202.218,    0.5981,    0.0000,    6.0118,    6.0012,    0.6599,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0773,   0.1888,   0.0840,   0.0357,   0.1974,1469.5847, 799.7347,  27.4238,  91.1957,1350.4866,   0.1797,   8.0211,  37.0399, 205.4001, 242.4400,   0.0562,   0.0010,   0.0264,   0.0190,   0.0480,   0.0291,  35.8138,   0.0490,   0.4816,   0.4751,   0.1372,   0.0832,    0.021,    0.074,    7.926,    2.124,    4.552,  198.145,    0.5782,    0.0000,    5.7029,    5.6830,    0.6586,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.0812,   0.1969,   0.0859,   0.0365,   0.1885, 932.6990, 799.9391,  34.1223, 106.1227, 792.2589,   0.1971,   7.8642,  41.1022, 201.3379, 242.4401,   0.0632,   0.0020,   0.0276,   0.0190,   0.0532,   0.0322,  39.7792,   0.1023,   0.5020,   0.4748,   0.1519,   0.0920,    0.021,    0.072,    7.771,    2.084,    4.413,  194.276,    0.5641,    0.0000,    5.4679,    5.4538,    0.6648,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.0853,   0.2069,   0.0960,   0.0409,   0.2080, 954.8821, 799.9577,  34.3411, 100.3892, 820.1437,   0.2193,   7.6890,  45.6791, 196.7645, 242.4436,   0.0729,   0.0032,   0.0290,   0.0194,   0.0590,   0.0358,  44.2326,   0.1620,   0.5276,   0.4862,   0.1686,   0.1022,    0.020,    0.069,    7.600,    2.034,    4.207,  189.996,    0.5277,    0.0000,    6.0772,    6.0409,    0.6783,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    9,   0.0904,   0.2211,   0.1033,   0.0446,   0.2118,1027.1952, 798.0945,  41.9422, 106.0810, 881.0442,   0.2434,   7.5117,  50.2988, 192.1492, 242.4480,   0.0835,   0.0034,   0.0310,   0.0200,   0.0657,   0.0398,  48.7649,   0.1686,   0.5638,   0.4998,   0.1879,   0.1138,    0.020,    0.066,    7.426,    1.982,    4.018,  185.643,    0.5066,    0.0000,    6.2366,    6.2155,    0.7033,    0.0000,    1.2039,    0.0602,    1.2039,    0.0602,
   10,   0.0957,   0.2355,   0.1028,   0.0446,   0.1799,1082.7830, 799.9462,  34.2710,  93.0404, 953.6277,   0.2653,   7.3680,  53.9351, 188.5150, 242.4501,   0.0907,   0.0038,   0.0330,   0.0204,   0.0732,   0.0443,  52.2980,   0.1917,   0.6005,   0.5092,   0.2090,   0.1267,    0.019,    0.068,    7.280,    1.945,    4.078,  182.002,    0.4898,    0.0000,    5.3728,    5.3559,    0.7306,    0.0000,    1.0087,    0.0504,    1.0087,    0.0504,
