 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0590,   0.1741,   0.0791,   0.0612,   0.3543, 716.6377, 799.7633,  38.9881, 115.5063, 562.3851,   0.1104,  13.8260,  14.7718, 352.6868, 367.4585,   0.0183,   0.0000,   0.0244,   0.0221,   0.0284,   0.0172,  13.6454,   0.0000,   0.4440,   0.5522,   0.0811,   0.0491,    0.019,    0.122,   13.685,    1.859,    7.953,  342.129,    0.7461,    0.0000,   10.5379,    8.7840,    0.7114,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0621,   0.1687,   0.0729,   0.0320,   0.3345,1101.7085, 799.9624,  25.2010,  93.4972, 982.8205,   0.1191,  13.5241,  22.4493, 345.0076, 367.4569,   0.0250,   0.0000,   0.0236,   0.0202,   0.0313,   0.0190,  21.3705,   0.0000,   0.4303,   0.5048,   0.0895,   0.0542,    0.026,    0.105,   13.393,    2.641,    6.742,  334.816,    0.8087,    0.0000,    8.6826,    8.7452,    0.7097,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0655,   0.1687,   0.0749,   0.0319,   0.3178,1226.4808, 799.8140,  29.5140, 111.3839,1085.7418,   0.1316,  13.2371,  29.8790, 337.5690, 367.4480,   0.0329,   0.0000,   0.0236,   0.0193,   0.0347,   0.0211,  28.8064,   0.0000,   0.4302,   0.4830,   0.0993,   0.0601,    0.030,    0.093,   13.115,    2.952,    5.899,  327.864,    0.8536,    0.0000,    8.5439,    8.5888,    0.6652,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0694,   0.1742,   0.0808,   0.0337,   0.3139,1326.1034, 798.4611,  24.8989,  95.3480,1207.2203,   0.1486,  12.9533,  37.2834, 330.1628, 367.4462,   0.0427,   0.0000,   0.0244,   0.0192,   0.0388,   0.0235,  36.1801,   0.0000,   0.4442,   0.4812,   0.1108,   0.0671,    0.031,    0.084,   12.839,    3.053,    5.270,  320.975,    0.8651,    0.0000,    8.6525,    8.6641,    0.6505,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0735,   0.1816,   0.0800,   0.0348,   0.3085,1077.3901, 799.2433,  27.8080,  91.3787, 957.4319,   0.1628,  12.6758,  44.5343, 322.9146, 367.4489,   0.0487,   0.0000,   0.0254,   0.0189,   0.0434,   0.0263,  43.3991,   0.0001,   0.4630,   0.4728,   0.1241,   0.0752,    0.031,    0.078,   12.568,    3.053,    4.817,  314.191,    0.8540,    0.0000,    8.6566,    8.6455,    0.6599,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0773,   0.1888,   0.0840,   0.0357,   0.2912,1469.5847, 799.7347,  27.4238,  91.1957,1350.4866,   0.1797,  12.4160,  51.2641, 316.1835, 367.4476,   0.0562,   0.0010,   0.0264,   0.0190,   0.0480,   0.0291,  50.0381,   0.0490,   0.4816,   0.4751,   0.1372,   0.0832,    0.030,    0.074,   12.312,    3.013,    4.552,  307.794,    0.8231,    0.0000,    8.2792,    8.2483,    0.6586,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.0812,   0.1969,   0.0859,   0.0365,   0.2783, 932.6990, 799.9391,  34.1223, 106.1227, 792.2589,   0.1971,  12.1702,  57.5421, 309.8898, 367.4319,   0.0632,   0.0020,   0.0276,   0.0190,   0.0532,   0.0322,  56.2192,   0.1023,   0.5020,   0.4748,   0.1519,   0.0920,    0.030,    0.072,   12.068,    2.963,    4.413,  301.706,    0.8074,    0.0000,    7.9681,    7.9524,    0.6648,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.0853,   0.2069,   0.0960,   0.0409,   0.3071, 954.8821, 799.9577,  34.3411, 100.3892, 820.1437,   0.2193,  11.8965,  64.6105, 302.8330, 367.4435,   0.0729,   0.0032,   0.0290,   0.0194,   0.0590,   0.0358,  63.1640,   0.1620,   0.5276,   0.4862,   0.1686,   0.1022,    0.029,    0.069,   11.799,    2.897,    4.207,  294.967,    0.7619,    0.0000,    8.8975,    8.8520,    0.6783,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    9,   0.0904,   0.2211,   0.1033,   0.0446,   0.3129,1027.1952, 798.0945,  41.9422, 106.0810, 881.0442,   0.2434,  11.6181,  71.7833, 295.6656, 367.4489,   0.0835,   0.0034,   0.0310,   0.0200,   0.0657,   0.0398,  70.2494,   0.1686,   0.5638,   0.4998,   0.1879,   0.1138,    0.028,    0.066,   11.524,    2.827,    4.018,  288.091,    0.7301,    0.0000,    9.1682,    9.1365,    0.7033,    0.0000,    1.2039,    0.0602,    1.2039,    0.0602,
   10,   0.0957,   0.2355,   0.1028,   0.0446,   0.2655,1082.7830, 799.9462,  34.2710,  93.0404, 953.6277,   0.2653,  11.3887,  77.5655, 289.8695, 367.4350,   0.0907,   0.0038,   0.0330,   0.0204,   0.0732,   0.0443,  75.9284,   0.1917,   0.6005,   0.5092,   0.2090,   0.1267,    0.028,    0.068,   11.293,    2.773,    4.078,  282.313,    0.7053,    0.0000,    7.9483,    7.9235,    0.7306,    0.0000,    1.0087,    0.0504,    1.0087,    0.0504,
