 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0590,   0.1741,   0.0791,   0.0612,   0.5180, 716.6377, 799.7633,  38.9881, 115.5063, 562.3851,   0.1104,  21.1623,  17.9082, 536.9680, 554.8762,   0.0183,   0.0000,   0.0244,   0.0221,   0.0284,   0.0172,  16.7818,   0.0000,   0.4440,   0.5522,   0.0811,   0.0491,    0.026,    0.122,   21.014,    2.621,    7.953,  525.345,    1.0495,    0.0000,   13.6743,   12.2238,    0.7114,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0621,   0.1687,   0.0729,   0.0320,   0.4914,1101.7085, 799.9624,  25.2010,  93.4972, 982.8205,   0.1191,  20.7033,  29.2417, 525.6396, 554.8814,   0.0250,   0.0000,   0.0236,   0.0202,   0.0313,   0.0190,  28.1629,   0.0000,   0.4303,   0.5048,   0.0895,   0.0542,    0.037,    0.105,   20.561,    3.745,    6.742,  514.018,    1.1350,    0.0000,   12.4014,   12.4869,    0.7097,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0655,   0.1687,   0.0749,   0.0319,   0.4686,1226.4808, 799.8140,  29.5140, 111.3839,1085.7418,   0.1316,  20.2659,  40.2818, 514.5756, 554.8574,   0.0329,   0.0000,   0.0236,   0.0193,   0.0347,   0.0211,  39.2092,   0.0000,   0.4302,   0.4830,   0.0993,   0.0601,    0.042,    0.093,   20.131,    4.209,    5.899,  503.271,    1.1966,    0.0000,   12.2900,   12.3516,    0.6652,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0694,   0.1742,   0.0808,   0.0337,   0.4640,1326.1034, 798.4611,  24.8989,  95.3480,1207.2203,   0.1486,  19.8322,  51.3751, 503.5044, 554.8795,   0.0427,   0.0000,   0.0244,   0.0192,   0.0388,   0.0235,  50.2718,   0.0000,   0.4442,   0.4812,   0.1108,   0.0671,    0.044,    0.084,   19.705,    4.373,    5.270,  492.617,    1.2442,    0.0000,   12.5495,   12.5970,    0.6505,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0735,   0.1816,   0.0800,   0.0348,   0.4571,1077.3901, 799.2433,  27.8080,  91.3787, 957.4319,   0.1628,  19.4052,  62.3906, 492.5281, 554.9188,   0.0487,   0.0000,   0.0254,   0.0189,   0.0434,   0.0263,  61.2555,   0.0001,   0.4630,   0.4728,   0.1241,   0.0752,    0.044,    0.078,   19.284,    4.391,    4.817,  482.092,    1.2279,    0.0000,   12.7030,   12.6867,    0.6599,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0773,   0.1888,   0.0840,   0.0357,   0.4319,1469.5847, 799.7347,  27.4238,  91.1957,1350.4866,   0.1797,  19.0039,  72.6672, 482.2706, 554.9378,   0.0562,   0.0010,   0.0264,   0.0190,   0.0480,   0.0291,  71.4411,   0.0490,   0.4816,   0.4751,   0.1372,   0.0832,    0.043,    0.074,   18.886,    4.346,    4.552,  472.160,    1.2114,    0.0000,   12.1829,   12.1664,    0.6586,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.0812,   0.1969,   0.0859,   0.0365,   0.4128, 932.6990, 799.9391,  34.1223, 106.1227, 792.2589,   0.1971,  18.6227,  82.3888, 472.5658, 554.9546,   0.0632,   0.0020,   0.0276,   0.0190,   0.0532,   0.0322,  81.0658,   0.1023,   0.5020,   0.4748,   0.1519,   0.0920,    0.043,    0.072,   18.508,    4.280,    4.413,  462.689,    1.1835,    0.0000,   11.8398,   11.8119,    0.6648,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.0853,   0.2069,   0.0960,   0.0409,   0.4557, 954.8821, 799.9577,  34.3411, 100.3892, 820.1437,   0.2193,  18.1997,  93.2010, 461.7344, 554.9354,   0.0729,   0.0032,   0.0290,   0.0194,   0.0590,   0.0358,  91.7545,   0.1620,   0.5276,   0.4862,   0.1686,   0.1022,    0.042,    0.069,   18.089,    4.191,    4.207,  452.223,    1.1133,    0.0000,   13.1383,   13.0680,    0.6783,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    9,   0.0904,   0.2211,   0.1033,   0.0446,   0.4644,1027.1952, 798.0945,  41.9422, 106.0810, 881.0442,   0.2434,  17.7687, 104.2117, 450.7244, 554.9360,   0.0835,   0.0034,   0.0310,   0.0200,   0.0657,   0.0398, 102.6778,   0.1686,   0.5638,   0.4998,   0.1879,   0.1138,    0.041,    0.066,   17.662,    4.092,    4.018,  441.541,    1.0739,    0.0000,   13.5779,   13.5386,    0.7033,    0.0000,    1.2039,    0.0602,    1.2039,    0.0602,
   10,   0.0957,   0.2355,   0.1028,   0.0446,   0.3938,1082.7830, 799.9462,  34.2710,  93.0404, 953.6277,   0.2653,  17.4103, 113.2686, 441.6646, 554.9331,   0.0907,   0.0038,   0.0330,   0.0204,   0.0732,   0.0443, 111.6315,   0.1917,   0.6005,   0.5092,   0.2090,   0.1267,    0.040,    0.068,   17.302,    4.013,    4.078,  432.543,    1.0308,    0.0000,   11.8717,   11.8285,    0.7306,    0.0000,    1.0087,    0.0504,    1.0087,    0.0504,
