 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0597,   0.1838,   0.1017,   0.0643,   0.4089, 716.6377, 799.7640,  33.7076, 115.6263, 567.5453,   0.1288,  16.2720,  15.8645, 414.1001, 429.9647,   0.0323,   0.0000,   0.0257,   0.0241,   0.0290,   0.0176,  14.6596,   0.0000,   0.4687,   0.6032,   0.0829,   0.0502,    0.021,    0.123,   16.128,    2.113,    7.988,  403.193,    0.8060,    0.0000,   11.6561,    9.9621,    0.7368,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0646,   0.1923,   0.0987,   0.0389,   0.3877,1101.7085, 799.9625,  23.1673,  93.5100, 984.8453,   0.1517,  15.9196,  24.7219, 405.2264, 429.9482,   0.0466,   0.0000,   0.0269,   0.0244,   0.0335,   0.0203,  23.4683,   0.0000,   0.4904,   0.6095,   0.0957,   0.0580,    0.030,    0.109,   15.780,    3.018,    6.900,  394.508,    0.8007,    0.0000,    9.9883,    9.9829,    0.8137,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0706,   0.2061,   0.1089,   0.0419,   0.3702,1226.4808, 799.8130,  29.1330, 111.3579,1086.1510,   0.1804,  15.5872,  33.1890, 396.7543, 429.9433,   0.0631,   0.0000,   0.0289,   0.0253,   0.0393,   0.0238,  31.8495,   0.0000,   0.5256,   0.6333,   0.1124,   0.0681,    0.034,    0.101,   15.452,    3.395,    6.284,  386.298,    0.7769,    0.0000,    9.7935,    9.7698,    0.8320,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0774,   0.2251,   0.1231,   0.0468,   0.3678,1326.1034, 798.4667,  25.6243,  95.3152,1206.5227,   0.2162,  15.2596,  41.5541, 388.3873, 429.9413,   0.0828,   0.0000,   0.0315,   0.0270,   0.0467,   0.0283,  40.0918,   0.0000,   0.5740,   0.6741,   0.1334,   0.0808,    0.035,    0.097,   15.127,    3.541,    5.928,  378.186,    0.7328,    0.0000,    9.9020,    9.8579,    0.8732,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0852,   0.2470,   0.1299,   0.0514,   0.3638,1077.3901, 799.2376,  30.9603,  91.2659, 954.4041,   0.2506,  14.9403,  49.6751, 380.2697, 429.9448,   0.0980,   0.0000,   0.0346,   0.0284,   0.0558,   0.0338,  48.0787,   0.0002,   0.6299,   0.7103,   0.1594,   0.0966,    0.036,    0.096,   14.809,    3.574,    5.770,  370.222,    0.7043,    0.0000,    9.8927,    9.8641,    0.9406,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0925,   0.2677,   0.1409,   0.0554,   0.3457,1469.5847, 799.7333,  31.4749,  91.0956,1346.5294,   0.2889,  14.6421,  57.1828, 372.7687, 429.9515,   0.1146,   0.0019,   0.0375,   0.0299,   0.0653,   0.0396,  55.3563,   0.0954,   0.6827,   0.7484,   0.1867,   0.1132,    0.036,    0.098,   14.509,    3.564,    5.831,  362.720,    0.6535,    0.0000,    9.4973,    9.4465,    0.9962,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.1003,   0.2898,   0.1512,   0.0591,   0.3325, 932.6990, 799.9383,  41.0238, 105.9461, 785.5333,   0.3306,  14.3599,  64.1698, 365.7694, 429.9392,   0.1318,   0.0041,   0.0406,   0.0315,   0.0764,   0.0463,  62.0907,   0.2035,   0.7390,   0.7863,   0.2182,   0.1322,    0.035,    0.101,   14.223,    3.541,    6.033,  355.575,    0.6211,    0.0000,    9.1819,    9.1494,    1.0512,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.1100,   0.3194,   0.1773,   0.0692,   0.3694, 954.8821, 799.9571,  43.4460, 100.1408, 811.2839,   0.3840,  14.0447,  72.0767, 357.8617, 429.9384,   0.1574,   0.0044,   0.0447,   0.0337,   0.0895,   0.0543,  69.7896,   0.2190,   0.8145,   0.8429,   0.2557,   0.1550,    0.035,    0.103,   13.907,    3.504,    6.123,  347.673,    0.5620,    0.0000,   10.3189,   10.2597,    1.1285,    0.0000,    2.2047,    0.1102,    2.2047,    0.1102,
    9,   0.1209,   0.3532,   0.1994,   0.0783,   0.3790,1027.1952, 798.0586,  55.6443, 105.7230, 867.7323,   0.4455,  13.7250,  80.1045, 349.8402, 429.9448,   0.1856,   0.0055,   0.0494,   0.0362,   0.1051,   0.0637,  77.5400,   0.2771,   0.9007,   0.9046,   0.3002,   0.1820,    0.035,    0.105,   13.586,    3.459,    6.216,  339.638,    0.5267,    0.0000,   10.6901,   10.6548,    1.2207,    0.0000,    1.8037,    0.0902,    1.8037,    0.0902,
   10,   0.1331,   0.3899,   0.2040,   0.0819,   0.3241,1082.7830, 799.9452,  46.4866,  92.8682, 941.5482,   0.5023,  13.4658,  86.4129, 343.5338, 429.9466,   0.2056,   0.0065,   0.0546,   0.0384,   0.1227,   0.0744,  83.5699,   0.3262,   0.9943,   0.9592,   0.3507,   0.2126,    0.034,    0.115,   13.317,    3.433,    6.683,  332.921,    0.4972,    0.0000,    9.2334,    9.2038,    1.3231,    0.0000,    2.3536,    0.1177,    2.3536,    0.1177,
