 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0590,   0.1741,   0.0791,   0.0612,   0.4089, 716.6377, 799.7633,  38.9881, 115.5063, 562.3851,   0.1104,  16.2711,  15.8514, 414.1151, 429.9665,   0.0183,   0.0000,   0.0244,   0.0221,   0.0284,   0.0172,  14.7250,   0.0000,   0.4440,   0.5522,   0.0811,   0.0491,    0.021,    0.122,   16.128,    2.113,    7.953,  403.193,    0.8569,    0.0000,   11.6175,    9.9745,    0.7114,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0621,   0.1687,   0.0729,   0.0320,   0.3868,1101.7085, 799.9624,  25.2010,  93.4972, 982.8205,   0.1191,  15.9153,  24.7740, 405.1812, 429.9551,   0.0250,   0.0000,   0.0236,   0.0202,   0.0313,   0.0190,  23.6952,   0.0000,   0.4303,   0.5048,   0.0895,   0.0542,    0.030,    0.105,   15.780,    3.009,    6.742,  394.502,    0.9284,    0.0000,    9.9492,   10.0207,    0.7097,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0655,   0.1687,   0.0749,   0.0319,   0.3680,1226.4808, 799.8140,  29.5140, 111.3839,1085.7418,   0.1316,  15.5774,  33.4382, 396.5182, 429.9564,   0.0329,   0.0000,   0.0236,   0.0193,   0.0347,   0.0211,  32.3657,   0.0000,   0.4302,   0.4830,   0.0993,   0.0601,    0.034,    0.093,   15.451,    3.371,    5.899,  386.268,    0.9802,    0.0000,    9.8248,    9.8766,    0.6652,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0694,   0.1742,   0.0808,   0.0337,   0.3639,1326.1034, 798.4611,  24.8989,  95.3480,1207.2203,   0.1486,  15.2434,  42.0798, 387.8685, 429.9483,   0.0427,   0.0000,   0.0244,   0.0192,   0.0388,   0.0235,  40.9765,   0.0000,   0.4442,   0.4812,   0.1108,   0.0671,    0.035,    0.084,   15.125,    3.492,    5.270,  378.117,    0.9886,    0.0000,    9.9608,    9.9693,    0.6505,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0735,   0.1816,   0.0800,   0.0348,   0.3580,1077.3901, 799.2433,  27.8080,  91.3787, 957.4319,   0.1628,  14.9164,  50.5496, 379.3914, 429.9410,   0.0487,   0.0000,   0.0254,   0.0189,   0.0434,   0.0263,  49.4145,   0.0001,   0.4630,   0.4728,   0.1241,   0.0752,    0.035,    0.078,   14.804,    3.498,    4.817,  370.096,    0.9805,    0.0000,    9.9714,    9.9632,    0.6599,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0773,   0.1888,   0.0840,   0.0357,   0.3381,1469.5847, 799.7347,  27.4238,  91.1957,1350.4866,   0.1797,  14.6097,  58.4545, 371.4911, 429.9456,   0.0562,   0.0010,   0.0264,   0.0190,   0.0480,   0.0291,  57.2285,   0.0490,   0.4816,   0.4751,   0.1372,   0.0832,    0.035,    0.074,   14.501,    3.457,    4.552,  362.526,    0.9556,    0.0000,    9.5744,    9.5494,    0.6586,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.0812,   0.1969,   0.0859,   0.0365,   0.3231, 932.6990, 799.9391,  34.1223, 106.1227, 792.2589,   0.1971,  14.3186,  65.8879, 364.0523, 429.9402,   0.0632,   0.0020,   0.0276,   0.0190,   0.0532,   0.0322,  64.5649,   0.1023,   0.5020,   0.4748,   0.1519,   0.0920,    0.034,    0.072,   14.212,    3.401,    4.413,  355.307,    0.9312,    0.0000,    9.2673,    9.2428,    0.6648,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.0853,   0.2069,   0.0960,   0.0409,   0.3566, 954.8821, 799.9577,  34.3411, 100.3892, 820.1437,   0.2193,  13.9952,  74.1984, 355.7392, 429.9376,   0.0729,   0.0032,   0.0290,   0.0194,   0.0590,   0.0358,  72.7519,   0.1620,   0.5276,   0.4862,   0.1686,   0.1022,    0.033,    0.069,   13.893,    3.328,    4.207,  347.326,    0.8781,    0.0000,   10.3065,   10.2534,    0.6783,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    9,   0.0904,   0.2211,   0.1033,   0.0446,   0.3634,1027.1952, 798.0945,  41.9422, 106.0810, 881.0442,   0.2434,  13.6663,  82.6482, 347.2970, 429.9453,   0.0835,   0.0034,   0.0310,   0.0200,   0.0657,   0.0398,  81.1143,   0.1686,   0.5638,   0.4998,   0.1879,   0.1138,    0.032,    0.066,   13.568,    3.248,    4.018,  339.190,    0.8416,    0.0000,   10.6370,   10.6005,    0.7033,    0.0000,    1.2039,    0.0602,    1.2039,    0.0602,
   10,   0.0957,   0.2355,   0.1028,   0.0446,   0.3083,1082.7830, 799.9462,  34.2710,  93.0404, 953.6277,   0.2653,  13.3945,  89.5084, 340.4294, 429.9378,   0.0907,   0.0038,   0.0330,   0.0204,   0.0732,   0.0443,  87.8713,   0.1917,   0.6005,   0.5092,   0.2090,   0.1267,    0.032,    0.068,   13.294,    3.186,    4.078,  332.356,    0.8099,    0.0000,    9.2436,    9.2119,    0.7306,    0.0000,    1.0087,    0.0504,    1.0087,    0.0504,
