 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0597,   0.1838,   0.1017,   0.0643,   0.2998, 716.6377, 799.7640,  33.7076, 115.6263, 567.5453,   0.1288,  11.3816,  13.6956, 291.2560, 304.9516,   0.0323,   0.0000,   0.0257,   0.0241,   0.0290,   0.0176,  12.4907,   0.0000,   0.4687,   0.6032,   0.0829,   0.0502,    0.016,    0.123,   11.242,    1.606,    7.988,  281.059,    0.6030,    0.0000,    9.4871,    7.5902,    0.7368,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0646,   0.1923,   0.0987,   0.0389,   0.2832,1101.7085, 799.9625,  23.1673,  93.5100, 984.8453,   0.1517,  11.1355,  20.1043, 284.8423, 304.9465,   0.0466,   0.0000,   0.0269,   0.0244,   0.0335,   0.0203,  18.8507,   0.0000,   0.4904,   0.6095,   0.0957,   0.0580,    0.023,    0.109,   11.004,    2.282,    6.879,  275.087,    0.5940,    0.0000,    7.4962,    7.4872,    0.8137,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0706,   0.2061,   0.1089,   0.0419,   0.2697,1226.4808, 799.8130,  29.1330, 111.3579,1086.1510,   0.1804,  10.9037,  26.1561, 278.7772, 304.9332,   0.0631,   0.0000,   0.0289,   0.0253,   0.0393,   0.0238,  24.8166,   0.0000,   0.5256,   0.6333,   0.1124,   0.0681,    0.026,    0.101,   10.777,    2.558,    6.224,  269.421,    0.5747,    0.0000,    7.2859,    7.2666,    0.8320,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0774,   0.2251,   0.1231,   0.0468,   0.2677,1326.1034, 798.4667,  25.6243,  95.3152,1206.5227,   0.2162,  10.6762,  32.0682, 272.8726, 304.9408,   0.0828,   0.0000,   0.0315,   0.0270,   0.0467,   0.0283,  30.6059,   0.0000,   0.5740,   0.6741,   0.1334,   0.0808,    0.027,    0.097,   10.553,    2.660,    5.846,  263.821,    0.5444,    0.0000,    7.3084,    7.2780,    0.8732,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0852,   0.2470,   0.1299,   0.0514,   0.2648,1077.3901, 799.2376,  30.9603,  91.2659, 954.4041,   0.2506,  10.4555,  37.7267, 267.2180, 304.9447,   0.0980,   0.0000,   0.0346,   0.0284,   0.0558,   0.0338,  36.1303,   0.0002,   0.6299,   0.7103,   0.1594,   0.0966,    0.027,    0.096,   10.333,    2.682,    5.697,  258.325,    0.5137,    0.0000,    7.2405,    7.2098,    0.9406,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0925,   0.2677,   0.1409,   0.0554,   0.2519,1469.5847, 799.7333,  31.4749,  91.0956,1346.5294,   0.2889,  10.2512,  42.8547, 262.0807, 304.9355,   0.1146,   0.0019,   0.0375,   0.0299,   0.0653,   0.0396,  41.0283,   0.0954,   0.6827,   0.7484,   0.1867,   0.1132,    0.027,    0.098,   10.127,    2.675,    5.764,  253.170,    0.4714,    0.0000,    6.8788,    6.8365,    0.9962,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.1003,   0.2898,   0.1512,   0.0591,   0.2429, 932.6990, 799.9383,  41.0238, 105.9461, 785.5333,   0.3306,  10.0589,  47.5542, 257.3616, 304.9157,   0.1318,   0.0041,   0.0406,   0.0315,   0.0764,   0.0463,  45.4751,   0.2035,   0.7390,   0.7863,   0.2182,   0.1322,    0.027,    0.101,    9.931,    2.663,    5.970,  248.268,    0.4599,    0.0000,    6.6078,    6.5962,    1.0512,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.1100,   0.3194,   0.1773,   0.0692,   0.2704, 954.8821, 799.9571,  43.4460, 100.1408, 811.2839,   0.3840,   9.8427,  52.9750, 251.9666, 304.9417,   0.1574,   0.0044,   0.0447,   0.0337,   0.0895,   0.0543,  50.6879,   0.2190,   0.8145,   0.8429,   0.2557,   0.1550,    0.026,    0.103,    9.714,    2.642,    6.071,  242.837,    0.4164,    0.0000,    7.5004,    7.4569,    1.1285,    0.0000,    2.2047,    0.1102,    2.2047,    0.1102,
    9,   0.1209,   0.3532,   0.1994,   0.0783,   0.2780,1027.1952, 798.0586,  55.6443, 105.7230, 867.7323,   0.4455,   9.6237,  58.4029, 246.5414, 304.9442,   0.1856,   0.0055,   0.0494,   0.0362,   0.1051,   0.0637,  55.8384,   0.2771,   0.9007,   0.9046,   0.3002,   0.1820,    0.026,    0.105,    9.493,    2.616,    6.211,  237.316,    0.3980,    0.0000,    7.7080,    7.6896,    1.2207,    0.0000,    1.8037,    0.0902,    1.8037,    0.0902,
   10,   0.1331,   0.3899,   0.2040,   0.0819,   0.2386,1082.7830, 799.9452,  46.4866,  92.8682, 941.5482,   0.5023,   9.4493,  62.5586, 242.3796, 304.9382,   0.2056,   0.0065,   0.0546,   0.0384,   0.1227,   0.0744,  59.7156,   0.3262,   0.9943,   0.9592,   0.3507,   0.2126,    0.026,    0.115,    9.309,    2.606,    6.683,  232.717,    0.3735,    0.0000,    6.6470,    6.6225,    1.3231,    0.0000,    2.3536,    0.1177,    2.3536,    0.1177,
