 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0590,   0.1741,   0.0791,   0.0612,   0.1360, 716.6377, 799.7633,  38.9881, 115.5063, 562.3851,   0.1104,   4.0439,  10.4810, 106.9605, 117.4416,   0.0183,   0.0000,   0.0244,   0.0221,   0.0284,   0.0172,   9.3546,   0.0000,   0.4440,   0.5522,   0.0811,   0.0491,    0.008,    0.122,    3.913,    0.843,    7.953,   97.829,    0.3356,    0.0000,    6.2472,    4.0828,    0.7114,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0621,   0.1687,   0.0729,   0.0320,   0.1254,1101.7085, 799.9624,  25.2010,  93.4972, 982.8205,   0.1191,   3.9506,  13.3785, 104.0681, 117.4466,   0.0250,   0.0000,   0.0236,   0.0202,   0.0313,   0.0190,  12.2997,   0.0000,   0.4303,   0.5048,   0.0895,   0.0542,    0.012,    0.105,    3.834,    1.169,    6.710,   95.844,    0.3453,    0.0000,    3.8168,    3.8264,    0.7097,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0655,   0.1687,   0.0749,   0.0319,   0.1168,1226.4808, 799.8140,  29.5140, 111.3839,1085.7418,   0.1316,   3.8643,  16.0152, 101.4300, 117.4452,   0.0329,   0.0000,   0.0236,   0.0193,   0.0347,   0.0211,  14.9426,   0.0000,   0.4302,   0.4830,   0.0993,   0.0601,    0.013,    0.093,    3.759,    1.276,    5.840,   93.964,    0.3510,    0.0000,    3.5694,    3.5752,    0.6652,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0694,   0.1742,   0.0808,   0.0337,   0.1136,1326.1034, 798.4611,  24.8989,  95.3480,1207.2203,   0.1486,   3.7810,  18.5011,  98.9436, 117.4446,   0.0427,   0.0000,   0.0244,   0.0192,   0.0388,   0.0235,  17.3977,   0.0000,   0.4442,   0.4812,   0.1108,   0.0671,    0.013,    0.084,    3.684,    1.291,    5.199,   92.107,    0.3465,    0.0000,    3.4567,    3.4521,    0.6505,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0735,   0.1816,   0.0800,   0.0348,   0.1105,1077.3901, 799.2433,  27.8080,  91.3787, 957.4319,   0.1628,   3.7015,  20.8099,  96.6343, 117.4442,   0.0487,   0.0000,   0.0254,   0.0189,   0.0434,   0.0263,  19.6747,   0.0001,   0.4630,   0.4728,   0.1241,   0.0752,    0.013,    0.078,    3.611,    1.268,    4.752,   90.280,    0.3349,    0.0000,    3.3388,    3.3273,    0.6599,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0773,   0.1888,   0.0840,   0.0357,   0.1036,1469.5847, 799.7347,  27.4238,  91.1957,1350.4866,   0.1797,   3.6291,  22.8340,  94.6121, 117.4461,   0.0562,   0.0010,   0.0264,   0.0190,   0.0480,   0.0291,  21.6079,   0.0490,   0.4816,   0.4751,   0.1372,   0.0832,    0.012,    0.074,    3.543,    1.236,    4.487,   88.568,    0.3207,    0.0000,    3.0989,    3.0847,    0.6586,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.0812,   0.1969,   0.0859,   0.0365,   0.0989, 932.6990, 799.9391,  34.1223, 106.1227, 792.2589,   0.1971,   3.5622,  24.6359,  92.8108, 117.4467,   0.0632,   0.0020,   0.0276,   0.0190,   0.0532,   0.0322,  23.3130,   0.1023,   0.5020,   0.4748,   0.1519,   0.0920,    0.012,    0.072,    3.478,    1.206,    4.348,   86.945,    0.3126,    0.0000,    2.9234,    2.9153,    0.6648,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.0853,   0.2069,   0.0960,   0.0409,   0.1089, 954.8821, 799.9577,  34.3411, 100.3892, 820.1437,   0.2193,   3.4862,  26.6943,  90.7494, 117.4437,   0.0729,   0.0032,   0.0290,   0.0194,   0.0590,   0.0358,  25.2478,   0.1620,   0.5276,   0.4862,   0.1686,   0.1022,    0.012,    0.069,    3.406,    1.172,    4.145,   85.141,    0.2905,    0.0000,    3.2293,    3.2073,    0.6783,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    9,   0.0904,   0.2211,   0.1033,   0.0446,   0.1108,1027.1952, 798.0945,  41.9422, 106.0810, 881.0442,   0.2434,   3.4100,  28.7285,  88.7143, 117.4427,   0.0835,   0.0034,   0.0310,   0.0200,   0.0657,   0.0398,  27.1946,   0.1686,   0.5638,   0.4998,   0.1879,   0.1138,    0.011,    0.066,    3.332,    1.138,    3.988,   83.310,    0.2779,    0.0000,    3.2714,    3.2588,    0.7033,    0.0000,    1.2039,    0.0602,    1.2039,    0.0602,
   10,   0.0957,   0.2355,   0.1028,   0.0446,   0.0944,1082.7830, 799.9462,  34.2710,  93.0404, 953.6277,   0.2653,   3.3519,  30.1764,  87.2640, 117.4404,   0.0907,   0.0038,   0.0330,   0.0204,   0.0732,   0.0443,  28.5393,   0.1917,   0.6005,   0.5092,   0.2090,   0.1267,    0.011,    0.068,    3.272,    1.118,    4.071,   81.807,    0.2678,    0.0000,    2.7530,    2.7429,    0.7306,    0.0000,    1.0087,    0.0504,    1.0087,    0.0504,
