 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0590,   0.1741,   0.0791,   0.0612,   0.1905, 716.6377, 799.7633,  38.9881, 115.5063, 562.3851,   0.1104,   6.4895,  11.5616, 168.3960, 179.9576,   0.0183,   0.0000,   0.0244,   0.0221,   0.0284,   0.0172,  10.4352,   0.0000,   0.4440,   0.5522,   0.0811,   0.0491,    0.011,    0.122,    6.356,    1.097,    7.953,  158.906,    0.4397,    0.0000,    7.3277,    5.2674,    0.7114,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0621,   0.1687,   0.0729,   0.0320,   0.1777,1101.7085, 799.9624,  25.2010,  93.4972, 982.8205,   0.1191,   6.3441,  15.6412, 164.3068, 179.9480,   0.0250,   0.0000,   0.0236,   0.0202,   0.0313,   0.0190,  14.5624,   0.0000,   0.4303,   0.5048,   0.0895,   0.0542,    0.015,    0.105,    6.224,    1.537,    6.722,  155.591,    0.4568,    0.0000,    5.0205,    5.0375,    0.7097,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0655,   0.1687,   0.0749,   0.0319,   0.1670,1226.4808, 799.8140,  29.5140, 111.3839,1085.7418,   0.1316,   6.2076,  19.4528, 160.4865, 179.9393,   0.0329,   0.0000,   0.0236,   0.0193,   0.0347,   0.0211,  18.3802,   0.0000,   0.4302,   0.4830,   0.0993,   0.0601,    0.017,    0.093,    6.098,    1.695,    5.873,  152.442,    0.4763,    0.0000,    4.7895,    4.8090,    0.6652,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0694,   0.1742,   0.0808,   0.0337,   0.1637,1326.1034, 798.4611,  24.8989,  95.3480,1207.2203,   0.1486,   6.0743,  23.1455, 156.7963, 179.9418,   0.0427,   0.0000,   0.0244,   0.0192,   0.0388,   0.0235,  22.0422,   0.0000,   0.4442,   0.4812,   0.1108,   0.0671,    0.017,    0.084,    5.973,    1.732,    5.258,  149.330,    0.4766,    0.0000,    4.7323,    4.7325,    0.6505,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0735,   0.1816,   0.0800,   0.0348,   0.1600,1077.3901, 799.2433,  27.8080,  91.3787, 957.4319,   0.1628,   5.9456,  26.6783, 153.2672, 179.9455,   0.0487,   0.0000,   0.0254,   0.0189,   0.0434,   0.0263,  25.5432,   0.0001,   0.4630,   0.4728,   0.1241,   0.0752,    0.017,    0.078,    5.851,    1.714,    4.817,  146.271,    0.4651,    0.0000,    4.6557,    4.6443,    0.6599,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0773,   0.1888,   0.0840,   0.0357,   0.1505,1469.5847, 799.7347,  27.4238,  91.1957,1350.4866,   0.1797,   5.8264,  29.8730, 150.0727, 179.9458,   0.0562,   0.0010,   0.0264,   0.0190,   0.0480,   0.0291,  28.6470,   0.0490,   0.4816,   0.4751,   0.1372,   0.0832,    0.017,    0.074,    5.736,    1.680,    4.552,  143.390,    0.4503,    0.0000,    4.3869,    4.3721,    0.6586,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.0812,   0.1969,   0.0859,   0.0365,   0.1437, 932.6990, 799.9391,  34.1223, 106.1227, 792.2589,   0.1971,   5.7149,  32.7997, 147.1479, 179.9476,   0.0632,   0.0020,   0.0276,   0.0190,   0.0532,   0.0322,  31.4768,   0.1023,   0.5020,   0.4748,   0.1519,   0.0920,    0.016,    0.072,    5.626,    1.645,    4.413,  140.653,    0.4369,    0.0000,    4.1890,    4.1755,    0.6648,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.0853,   0.2069,   0.0960,   0.0409,   0.1585, 954.8821, 799.9577,  34.3411, 100.3892, 820.1437,   0.2193,   5.5893,  36.1126, 143.8321, 179.9447,   0.0729,   0.0032,   0.0290,   0.0194,   0.0590,   0.0358,  34.6661,   0.1620,   0.5276,   0.4862,   0.1686,   0.1022,    0.016,    0.069,    5.504,    1.603,    4.207,  137.611,    0.4110,    0.0000,    4.6472,    4.6214,    0.6783,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    9,   0.0904,   0.2211,   0.1033,   0.0446,   0.1614,1027.1952, 798.0945,  41.9422, 106.0810, 881.0442,   0.2434,   5.4623,  39.4556, 140.4846, 179.9402,   0.0835,   0.0034,   0.0310,   0.0200,   0.0657,   0.0398,  37.9217,   0.1686,   0.5638,   0.4998,   0.1879,   0.1138,    0.016,    0.066,    5.381,    1.560,    4.018,  134.514,    0.3925,    0.0000,    4.7686,    4.7501,    0.7033,    0.0000,    1.2039,    0.0602,    1.2039,    0.0602,
   10,   0.0957,   0.2355,   0.1028,   0.0446,   0.1372,1082.7830, 799.9462,  34.2710,  93.0404, 953.6277,   0.2653,   5.3612,  42.0172, 137.9294, 179.9466,   0.0907,   0.0038,   0.0330,   0.0204,   0.0732,   0.0443,  40.3800,   0.1917,   0.6005,   0.5092,   0.2090,   0.1267,    0.015,    0.068,    5.278,    1.532,    4.078,  131.937,    0.3826,    0.0000,    4.0812,    4.0713,    0.7306,    0.0000,    1.0087,    0.0504,    1.0087,    0.0504,
