 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0597,   0.1838,   0.1017,   0.0643,   0.2452, 716.6377, 799.7640,  33.7076, 115.6263, 567.5453,   0.1288,   8.9361,  12.6185, 229.8352, 242.4537,   0.0323,   0.0000,   0.0257,   0.0241,   0.0290,   0.0176,  11.4135,   0.0000,   0.4687,   0.6032,   0.0829,   0.0502,    0.014,    0.123,    8.799,    1.352,    7.988,  219.986,    0.5091,    0.0000,    8.4100,    6.4191,    0.7368,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0646,   0.1923,   0.0987,   0.0389,   0.2309,1101.7085, 799.9625,  23.1673,  93.5100, 984.8453,   0.1517,   8.7422,  17.8274, 224.6244, 242.4518,   0.0466,   0.0000,   0.0269,   0.0244,   0.0335,   0.0203,  16.5738,   0.0000,   0.4904,   0.6095,   0.0957,   0.0580,    0.019,    0.109,    8.614,    1.914,    6.866,  215.347,    0.4966,    0.0000,    6.2750,    6.2625,    0.8137,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0706,   0.2061,   0.1089,   0.0419,   0.2195,1226.4808, 799.8130,  29.1330, 111.3579,1086.1510,   0.1804,   8.5608,  22.6884, 219.7574, 242.4458,   0.0631,   0.0000,   0.0289,   0.0253,   0.0393,   0.0238,  21.3490,   0.0000,   0.5256,   0.6333,   0.1124,   0.0681,    0.021,    0.101,    8.438,    2.139,    6.190,  210.954,    0.4751,    0.0000,    6.0495,    6.0280,    0.8320,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0774,   0.2251,   0.1231,   0.0468,   0.2177,1326.1034, 798.4667,  25.6243,  95.3152,1206.5227,   0.2162,   8.3834,  27.3777, 215.0658, 242.4435,   0.0828,   0.0000,   0.0315,   0.0270,   0.0467,   0.0283,  25.9155,   0.0000,   0.5740,   0.6741,   0.1334,   0.0808,    0.022,    0.097,    8.264,    2.220,    5.786,  206.611,    0.4487,    0.0000,    6.0162,    5.9899,    0.8732,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0852,   0.2470,   0.1299,   0.0514,   0.2153,1077.3901, 799.2376,  30.9603,  91.2659, 954.4041,   0.2506,   8.2118,  31.8243, 210.6132, 242.4375,   0.0980,   0.0000,   0.0346,   0.0284,   0.0558,   0.0338,  30.2279,   0.0002,   0.6299,   0.7103,   0.1594,   0.0966,    0.022,    0.096,    8.094,    2.236,    5.608,  202.345,    0.4245,    0.0000,    5.9347,    5.9105,    0.9406,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0925,   0.2677,   0.1409,   0.0554,   0.2050,1469.5847, 799.7333,  31.4749,  91.0956,1346.5294,   0.2889,   8.0535,  35.8358, 206.6050, 242.4408,   0.1146,   0.0019,   0.0375,   0.0299,   0.0653,   0.0396,  34.0094,   0.0954,   0.6827,   0.7484,   0.1867,   0.1132,    0.022,    0.098,    7.934,    2.231,    5.642,  198.338,    0.3942,    0.0000,    5.6442,    5.6139,    0.9962,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.1003,   0.2898,   0.1512,   0.0591,   0.1980, 932.6990, 799.9383,  41.0238, 105.9461, 785.5333,   0.3306,   7.9056,  39.4854, 202.9574, 242.4428,   0.1318,   0.0041,   0.0406,   0.0315,   0.0764,   0.0463,  37.4063,   0.2035,   0.7390,   0.7863,   0.2182,   0.1322,    0.022,    0.101,    7.782,    2.224,    5.814,  194.546,    0.3741,    0.0000,    5.4177,    5.3976,    1.0512,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.1100,   0.3194,   0.1773,   0.0692,   0.2208, 954.8821, 799.9571,  43.4460, 100.1408, 811.2839,   0.3840,   7.7392,  43.6437, 198.7999, 242.4436,   0.1574,   0.0044,   0.0447,   0.0337,   0.0895,   0.0543,  41.3566,   0.2190,   0.8145,   0.8429,   0.2557,   0.1550,    0.022,    0.103,    7.614,    2.210,    5.894,  190.358,    0.3379,    0.0000,    6.0764,    6.0402,    1.1285,    0.0000,    2.2047,    0.1102,    2.2047,    0.1102,
    9,   0.1209,   0.3532,   0.1994,   0.0783,   0.2275,1027.1952, 798.0586,  55.6443, 105.7230, 867.7323,   0.4455,   7.5714,  47.8050, 194.6409, 242.4458,   0.1856,   0.0055,   0.0494,   0.0362,   0.1051,   0.0637,  45.2405,   0.2771,   0.9007,   0.9046,   0.3002,   0.1820,    0.022,    0.105,    7.445,    2.193,    6.013,  186.116,    0.3187,    0.0000,    6.2548,    6.2355,    1.2207,    0.0000,    1.8037,    0.0902,    1.8037,    0.0902,
   10,   0.1331,   0.3899,   0.2040,   0.0819,   0.1958,1082.7830, 799.9452,  46.4866,  92.8682, 941.5482,   0.5023,   7.4407,  50.8675, 191.5715, 242.4390,   0.2056,   0.0065,   0.0546,   0.0384,   0.1227,   0.0744,  48.0245,   0.3262,   0.9943,   0.9592,   0.3507,   0.2126,    0.022,    0.115,    7.304,    2.192,    6.474,  182.605,    0.3008,    0.0000,    5.3417,    5.3238,    1.3231,    0.0000,    2.3536,    0.1177,    2.3536,    0.1177,
