 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0603,   0.1795,   0.0804,   0.0677,   0.2458, 716.6377, 799.7632,  39.6013, 115.4973, 561.7809,   0.1077,   8.9392,  13.0152, 229.8933, 242.9085,   0.0085,   0.0000,   0.0251,   0.0268,   0.0294,   0.0178,  11.7521,   0.0000,   0.4576,   0.6704,   0.0841,   0.0510,    0.014,    0.126,    8.799,    1.358,    8.092,  219.986,    0.4570,    0.0000,    8.4441,    6.4011,    0.8283,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0636,   0.1721,   0.0743,   0.0355,   0.2320,1101.7085, 799.9624,  25.5902,  93.4886, 982.4395,   0.1089,   8.7453,  18.1550, 224.7511, 242.9061,   0.0074,   0.0000,   0.0241,   0.0251,   0.0326,   0.0197,  16.9403,   0.0000,   0.4388,   0.6264,   0.0930,   0.0564,    0.019,    0.112,    8.614,    1.927,    7.000,  215.346,    0.4777,    0.0000,    6.2473,    6.2680,    0.8472,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0665,   0.1683,   0.0751,   0.0344,   0.2201,1226.4808, 799.8143,  29.4442, 111.3820,1085.8157,   0.1138,   8.5611,  23.0475, 219.8512, 242.8987,   0.0089,   0.0000,   0.0236,   0.0243,   0.0356,   0.0215,  21.8482,   0.0000,   0.4292,   0.6069,   0.1016,   0.0616,    0.022,    0.102,    8.437,    2.150,    6.278,  210.931,    0.4913,    0.0000,    6.0553,    6.0689,    0.7996,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0693,   0.1698,   0.0792,   0.0353,   0.2173,1326.1034, 798.4626,  24.1422,  95.3554,1207.9678,   0.1225,   8.3786,  27.8631, 215.0353, 242.8984,   0.0124,   0.0000,   0.0238,   0.0244,   0.0386,   0.0234,  26.6426,   0.0000,   0.4329,   0.6105,   0.1103,   0.0668,    0.022,    0.094,    8.262,    2.222,    5.771,  206.548,    0.4956,    0.0000,    6.0593,    6.0636,    0.7827,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0718,   0.1710,   0.0764,   0.0353,   0.2135,1077.3901, 799.2443,  26.3154,  91.4128, 958.8934,   0.1278,   8.2001,  32.5164, 210.3763, 242.8927,   0.0132,   0.0000,   0.0239,   0.0240,   0.0416,   0.0252,  31.2903,   0.0000,   0.4359,   0.5994,   0.1188,   0.0720,    0.022,    0.089,    8.089,    2.220,    5.446,  202.215,    0.4958,    0.0000,    6.0060,    6.0062,    0.7954,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0738,   0.1715,   0.0777,   0.0349,   0.2015,1469.5847, 799.7352,  25.0000,  91.2387,1352.8718,   0.1352,   8.0331,  36.8531, 206.0376, 242.8907,   0.0157,   0.0006,   0.0240,   0.0240,   0.0441,   0.0267,  35.5840,   0.0300,   0.4374,   0.5993,   0.1260,   0.0763,    0.022,    0.086,    7.925,    2.191,    5.244,  198.123,    0.4799,    0.0000,    5.7713,    5.7554,    0.7843,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.0756,   0.1719,   0.0763,   0.0342,   0.1927, 932.6990, 799.9392,  29.9076, 106.2205, 796.3776,   0.1417,   7.8756,  40.9041, 201.9854, 242.8896,   0.0180,   0.0012,   0.0241,   0.0237,   0.0465,   0.0282,  39.5995,   0.0591,   0.4383,   0.5937,   0.1330,   0.0806,    0.022,    0.085,    7.769,    2.155,    5.124,  194.233,    0.4737,    0.0000,    5.5689,    5.5627,    0.7809,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.0773,   0.1741,   0.0823,   0.0370,   0.2125, 954.8821, 799.9579,  29.0910, 100.5232, 825.2612,   0.1512,   7.6988,  45.5224, 197.3743, 242.8967,   0.0221,   0.0018,   0.0244,   0.0241,   0.0490,   0.0297,  44.1614,   0.0885,   0.4439,   0.6036,   0.1401,   0.0849,    0.021,    0.081,    7.597,    2.107,    4.895,  189.926,    0.4473,    0.0000,    6.2221,    6.1957,    0.7856,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    9,   0.0791,   0.1772,   0.0845,   0.0384,   0.2163,1027.1952, 798.1096,  33.8846, 106.2945, 888.8728,   0.1608,   7.5192,  50.2215, 192.6841, 242.9056,   0.0263,   0.0024,   0.0248,   0.0244,   0.0516,   0.0313,  48.8043,   0.1181,   0.4518,   0.6105,   0.1474,   0.0893,    0.021,    0.077,    7.421,    2.052,    4.658,  185.536,    0.4382,    0.0000,    6.4085,    6.3994,    0.7991,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
   10,   0.0807,   0.1790,   0.0802,   0.0365,   0.1835,1082.7830, 799.9465,  26.4098,  93.1566, 961.3882,   0.1672,   7.3729,  53.9357, 188.9729, 242.9087,   0.0279,   0.0030,   0.0251,   0.0243,   0.0541,   0.0328,  52.4756,   0.1479,   0.4564,   0.6074,   0.1547,   0.0937,    0.020,    0.079,    7.274,    2.013,    4.683,  181.846,    0.4317,    0.0000,    5.5292,    5.5227,    0.8106,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
