 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0592,   0.1853,   0.1025,   0.0629,   0.3542, 716.6377, 799.7640,  34.0704, 115.6187, 567.1916,   0.1298,  13.8258,  14.6387, 352.6662, 367.3049,   0.0350,   0.0000,   0.0259,   0.0230,   0.0286,   0.0173,  13.4597,   0.0000,   0.4724,   0.5755,   0.0816,   0.0495,    0.019,    0.122,   13.685,    1.858,    7.935,  342.129,    0.7440,    0.0000,   10.5502,    8.7941,    0.7054,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0634,   0.1981,   0.1012,   0.0401,   0.3352,1101.7085, 799.9625,  23.9153,  93.5006, 984.1060,   0.1535,  13.5280,  22.2683, 345.0278, 367.2962,   0.0490,   0.0000,   0.0277,   0.0247,   0.0324,   0.0197,  20.9974,   0.0000,   0.5053,   0.6169,   0.0927,   0.0562,    0.026,    0.109,   13.393,    2.647,    6.855,  334.823,    0.7022,    0.0000,    8.7464,    8.7047,    0.8240,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0680,   0.2127,   0.1123,   0.0429,   0.3201,1226.4808, 799.8126,  30.2537, 111.3390,1085.0488,   0.1829,  13.2477,  29.4812, 337.7998, 367.2811,   0.0673,   0.0000,   0.0298,   0.0264,   0.0370,   0.0224,  28.1083,   0.0000,   0.5424,   0.6607,   0.1058,   0.0641,    0.030,    0.102,   13.116,    2.977,    6.270,  327.892,    0.6606,    0.0000,    8.5324,    8.4907,    0.8742,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0735,   0.2303,   0.1261,   0.0477,   0.3185,1326.1034, 798.4653,  26.5279,  95.3039,1205.6327,   0.2181,  12.9719,  36.5409, 330.7433, 367.2841,   0.0888,   0.0000,   0.0322,   0.0285,   0.0427,   0.0259,  35.0448,   0.0000,   0.5873,   0.7128,   0.1220,   0.0739,    0.031,    0.099,   12.841,    3.108,    5.986,  321.036,    0.6135,    0.0000,    8.5872,    8.5402,    0.9379,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0799,   0.2503,   0.1319,   0.0521,   0.3157,1077.3901, 799.2374,  31.7120,  91.2480, 953.6669,   0.2506,  12.7040,  43.3149, 323.9740, 367.2889,   0.1050,   0.0000,   0.0350,   0.0308,   0.0497,   0.0301,  41.6798,   0.0002,   0.6381,   0.7688,   0.1420,   0.0860,    0.031,    0.100,   12.573,    3.144,    5.936,  314.314,    0.5798,    0.0000,    8.5226,    8.4890,    1.0178,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0859,   0.2692,   0.1414,   0.0559,   0.3008,1469.5847, 799.7333,  31.9577,  91.0877,1346.0555,   0.2848,  12.4551,  49.4983, 317.7853, 367.2836,   0.1214,   0.0015,   0.0377,   0.0328,   0.0569,   0.0345,  47.6559,   0.0735,   0.6865,   0.8212,   0.1626,   0.0986,    0.031,    0.104,   12.320,    3.146,    6.120,  307.994,    0.5254,    0.0000,    8.1454,    8.0910,    1.0958,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.0923,   0.2893,   0.1511,   0.0594,   0.2904, 932.6990, 799.9383,  41.3097, 105.9387, 785.2533,   0.3215,  12.2204,  55.1980, 312.0684, 367.2664,   0.1383,   0.0031,   0.0405,   0.0350,   0.0651,   0.0395,  53.1300,   0.1552,   0.7378,   0.8762,   0.1860,   0.1127,    0.031,    0.110,   12.079,    3.140,    6.450,  301.979,    0.4995,    0.0000,    7.8572,    7.8313,    1.1675,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.0992,   0.3116,   0.1734,   0.0679,   0.3236, 954.8821, 799.9572,  42.7609, 100.1527, 811.9572,   0.3677,  11.9562,  61.7425, 305.5411, 367.2836,   0.1617,   0.0050,   0.0436,   0.0375,   0.0747,   0.0453,  59.4187,   0.2492,   0.7946,   0.9373,   0.2134,   0.1293,    0.031,    0.112,   11.812,    3.123,    6.649,  295.312,    0.4568,    0.0000,    8.8990,    8.8563,    1.2506,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    9,   0.1082,   0.3399,   0.1926,   0.0762,   0.3329,1027.1952, 798.0630,  54.0415, 105.7569, 869.2972,   0.4196,  11.6876,  68.4163, 298.8770, 367.2933,   0.1884,   0.0051,   0.0476,   0.0404,   0.0860,   0.0521,  65.8899,   0.2548,   0.8667,   1.0103,   0.2458,   0.1490,    0.031,    0.116,   11.541,    3.098,    6.828,  288.524,    0.4271,    0.0000,    9.2606,    9.2309,    1.3521,    0.0000,    2.0564,    0.1028,    2.0564,    0.1028,
   10,   0.1175,   0.3693,   0.1938,   0.0791,   0.2856,1082.7830, 799.9453,  44.3436,  92.8937, 943.6710,   0.4639,  11.4719,  73.5711, 293.7289, 367.3000,   0.2036,   0.0065,   0.0517,   0.0435,   0.0987,   0.0599,  70.7634,   0.3253,   0.9418,   1.0874,   0.2821,   0.1710,    0.031,    0.127,   11.314,    3.088,    7.389,  282.843,    0.4088,    0.0000,    7.9905,    7.9723,    1.4674,    0.0000,    1.0266,    0.0513,    1.0266,    0.0513,
   11,   0.1286,   0.4043,   0.2227,   0.0888,   0.3155, 824.5189, 798.6158,  62.2837, 105.2204, 658.3516,   0.5215,  11.2323,  79.2913, 288.0185, 367.3097,   0.2312,   0.0060,   0.0566,   0.0471,   0.1125,   0.0682,  76.2690,   0.2981,   1.0309,   1.1770,   0.3214,   0.1948,    0.031,    0.134,   11.067,    3.091,    7.880,  276.679,    0.3688,    0.0000,    8.7738,    8.7338,    1.5822,    0.0000,    3.1330,    0.1567,    3.1330,    0.1567,
   12,   0.1416,   0.4436,   0.2340,   0.0974,   0.3076,1075.2305, 799.9982,  60.7584, 104.4982, 908.5988,   0.5744,  11.0080,  84.6268, 282.6743, 367.3011,   0.2484,   0.0062,   0.0621,   0.0515,   0.1284,   0.0778,  81.3106,   0.3093,   1.1313,   1.2863,   0.3669,   0.2224,    0.031,    0.145,   10.832,    3.095,    8.425,  270.806,    0.3477,    0.0000,    8.6554,    8.6342,    1.7342,    0.0000,    2.7461,    0.1373,    2.7461,    0.1373,
   13,   0.1563,   0.4879,   0.2620,   0.1050,   0.2941,1327.3278, 798.1488,  64.0487, 101.9379,1163.1930,   0.6401,  10.8041,  89.2852, 278.0037, 367.2889,   0.2777,   0.0045,   0.0683,   0.0561,   0.1454,   0.0881,  85.7453,   0.2271,   1.2443,   1.4014,   0.4154,   0.2518,    0.031,    0.158,   10.615,    3.118,    9.205,  265.363,    0.3176,    0.0000,    8.2349,    8.2048,    1.8841,    0.0000,    4.7877,    0.2394,    4.7877,    0.2394,
   14,   0.1711,   0.5337,   0.2947,   0.1158,   0.2973,1175.1230, 799.3833,  78.0449, 104.1430, 991.7063,   0.7194,  10.6058,  93.7905, 273.4902, 367.2807,   0.3128,   0.0063,   0.0747,   0.0608,   0.1649,   0.0999,  89.8358,   0.3173,   1.3609,   1.5199,   0.4711,   0.2855,    0.032,    0.173,   10.402,    3.152,   10.001,  260.040,    0.2976,    0.0000,    8.3419,    8.3220,    2.0510,    0.0000,    1.8708,    0.0935,    1.8708,    0.0935,
   15,   0.1888,   0.5884,   0.3126,   0.1290,   0.3075,1483.9203, 799.9955,  82.3754, 103.5226,1297.4137,   0.7938,  10.4067,  98.3255, 268.9340, 367.2594,   0.3390,   0.0061,   0.0824,   0.0664,   0.1867,   0.1131,  94.0016,   0.3073,   1.5003,   1.6595,   0.5335,   0.3233,    0.032,    0.186,   10.188,    3.196,   10.759,  254.708,    0.2715,    0.0000,    8.6497,    8.6236,    2.2389,    0.0000,    4.2590,    0.2129,    4.2590,    0.2129,
   16,   0.2080,   0.6477,   0.3633,   0.1437,   0.3064,1144.0876, 799.1802,  94.7587, 115.2744, 934.8712,   0.8939,  10.2193, 102.5266, 264.7093, 367.2360,   0.3851,   0.0071,   0.0907,   0.0726,   0.2107,   0.1277,  97.7395,   0.3540,   1.6515,   1.8145,   0.6021,   0.3649,    0.032,    0.203,    9.984,    3.246,   11.607,  249.608,    0.2487,    0.0000,    8.6134,    8.5905,    2.4458,    0.0000,    3.5885,    0.1794,    3.5885,    0.1794,
   17,   0.2308,   0.7184,   0.3983,   0.1592,   0.3135, 716.6377, 799.7595, 132.4979, 113.1318, 470.4333,   1.0010,  10.0371, 106.6602, 260.6220, 367.2822,   0.4304,   0.0071,   0.1006,   0.0799,   0.2384,   0.1445, 101.3805,   0.3555,   1.8319,   1.9983,   0.6812,   0.4128,    0.033,    0.220,    9.784,    3.304,   12.494,  244.592,    0.2325,    0.0000,    8.8759,    8.8597,    2.6919,    0.0000,    5.1607,    0.2580,    5.1607,    0.2580,
   18,   0.2551,   0.7926,   0.4016,   0.1698,   0.3041,1101.7085, 799.9587,  95.1377,  92.5304, 913.8531,   1.0871,   9.8776, 110.0314, 257.2489, 367.2803,   0.4517,   0.0074,   0.1110,   0.0874,   0.2675,   0.1621, 104.2288,   0.3688,   2.0211,   2.1852,   0.7644,   0.4632,    0.034,    0.244,    9.600,    3.387,   13.642,  240.003,    0.2177,    0.0000,    8.4678,    8.4530,    2.9632,    0.0000,    5.2947,    0.2647,    5.2947,    0.2647,
   19,   0.2795,   0.8685,   0.4575,   0.1830,   0.3000,1226.4808, 799.8018, 123.6196, 110.1316, 992.8936,   1.2036,   9.7343, 112.9275, 254.3530, 367.2805,   0.4979,   0.0100,   0.1216,   0.0950,   0.2983,   0.1808, 106.4687,   0.5005,   2.2146,   2.3748,   0.8524,   0.5165,    0.035,    0.270,    9.429,    3.484,   14.930,  235.734,    0.2050,    0.0000,    8.3100,    8.2974,    3.2135,    0.0000,    3.3024,    0.1651,    3.3024,    0.1651,
