 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0584,   0.1829,   0.1019,   0.0589,   0.4083, 716.6377, 799.7640,  33.8704, 115.6212, 567.3890,   0.1312,  16.2684,  15.4363, 414.0741, 429.5104,   0.0407,   0.0000,   0.0256,   0.0201,   0.0279,   0.0169,  14.3403,   0.0000,   0.4663,   0.5017,   0.0797,   0.0483,    0.021,    0.120,   16.128,    2.108,    7.809,  403.193,    0.9646,    0.0000,   11.5769,   10.0415,    0.6318,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0624,   0.1958,   0.1001,   0.0377,   0.3862,1101.7085, 799.9625,  23.7055,  93.5046, 984.3111,   0.1598,  15.9144,  24.4273, 405.0652, 429.4926,   0.0600,   0.0000,   0.0274,   0.0215,   0.0316,   0.0192,  23.2449,   0.0000,   0.4993,   0.5378,   0.0904,   0.0548,    0.030,    0.104,   15.780,    3.001,    6.647,  394.507,    0.9095,    0.0000,   10.0359,    9.9808,    0.7362,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0676,   0.2121,   0.1120,   0.0413,   0.3686,1226.4808, 799.8126,  30.2183, 111.3410,1085.0819,   0.1939,  15.5817,  32.9713, 396.5149, 429.4862,   0.0822,   0.0000,   0.0297,   0.0232,   0.0366,   0.0222,  31.6829,   0.0000,   0.5409,   0.5796,   0.1045,   0.0634,    0.034,    0.096,   15.452,    3.373,    5.994,  386.294,    0.8544,    0.0000,    9.8202,    9.7650,    0.7876,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0739,   0.2319,   0.1271,   0.0466,   0.3663,1326.1034, 798.4648,  26.8146,  95.3016,1205.3477,   0.2344,  15.2548,  41.3373, 388.1460, 429.4833,   0.1077,   0.0000,   0.0325,   0.0251,   0.0430,   0.0261,  39.9206,   0.0000,   0.5914,   0.6279,   0.1229,   0.0745,    0.035,    0.093,   15.127,    3.516,    5.668,  378.177,    0.7847,    0.0000,    9.8778,    9.8081,    0.8524,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0813,   0.2553,   0.1344,   0.0517,   0.3626,1077.3901, 799.2366,  32.3560,  91.2348, 953.0372,   0.2730,  14.9368,  49.4013, 380.0764, 429.4777,   0.1276,   0.0000,   0.0357,   0.0273,   0.0512,   0.0310,  47.8315,   0.0002,   0.6511,   0.6835,   0.1463,   0.0887,    0.036,    0.092,   14.809,    3.552,    5.568,  370.222,    0.7347,    0.0000,    9.8202,    9.7701,    0.9295,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0884,   0.2779,   0.1458,   0.0562,   0.3450,1469.5847, 799.7331,  33.0288,  91.0712,1345.0009,   0.3141,  14.6408,  56.8267, 372.6577, 429.4844,   0.1478,   0.0017,   0.0389,   0.0295,   0.0599,   0.0363,  55.0200,   0.0869,   0.7085,   0.7363,   0.1712,   0.1037,    0.035,    0.096,   14.509,    3.547,    5.708,  362.734,    0.6687,    0.0000,    9.4244,    9.3585,    1.0111,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.0960,   0.3019,   0.1577,   0.0605,   0.3324, 932.6990, 799.9382,  43.1979, 105.8988, 783.4077,   0.3588,  14.3609,  63.7141, 365.7651, 429.4792,   0.1689,   0.0037,   0.0423,   0.0317,   0.0699,   0.0424,  61.6461,   0.1853,   0.7697,   0.7921,   0.1998,   0.1211,    0.035,    0.102,   14.224,    3.532,    6.011,  355.599,    0.6225,    0.0000,    9.1112,    9.0650,    1.0873,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.1049,   0.3299,   0.1833,   0.0703,   0.3700, 954.8821, 799.9571,  45.2669, 100.0990, 809.5048,   0.4147,  14.0479,  71.4995, 357.9788, 429.4783,   0.1977,   0.0051,   0.0462,   0.0342,   0.0819,   0.0496,  69.1707,   0.2563,   0.8412,   0.8556,   0.2339,   0.1418,    0.035,    0.105,   13.908,    3.506,    6.206,  347.707,    0.5592,    0.0000,   10.2348,   10.1715,    1.1752,    0.0000,    0.8764,    0.0438,    0.8764,    0.0438,
    9,   0.1157,   0.3638,   0.2057,   0.0797,   0.3803,1027.1952, 798.0549,  57.7642, 105.6680, 865.6705,   0.4779,  13.7301,  79.4222, 350.0638, 429.4859,   0.2295,   0.0058,   0.0509,   0.0373,   0.0961,   0.0583,  76.8319,   0.2892,   0.9278,   0.9321,   0.2747,   0.1665,    0.035,    0.108,   13.587,    3.472,    6.394,  339.681,    0.5169,    0.0000,   10.6317,   10.5894,    1.2792,    0.0000,    2.0498,    0.1025,    2.0498,    0.1025,
   10,   0.1277,   0.4018,   0.2099,   0.0840,   0.3258,1082.7830, 799.9451,  48.0559,  92.8489, 939.9938,   0.5345,  13.4734,  85.6149, 343.8793, 429.4942,   0.2505,   0.0066,   0.0562,   0.0407,   0.1124,   0.0681,  82.7302,   0.3277,   1.0245,   1.0167,   0.3211,   0.1946,    0.035,    0.120,   13.319,    3.455,    6.969,  332.974,    0.4816,    0.0000,    9.1840,    9.1487,    1.4029,    0.0000,    2.2969,    0.1148,    2.2969,    0.1148,
