 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0576,   0.1808,   0.1011,   0.0551,   0.4625, 716.6377, 799.7641,  33.6359, 115.6243, 567.6207,   0.1324,  18.7117,  16.1632, 475.5463, 491.7095,   0.0460,   0.0000,   0.0253,   0.0172,   0.0273,   0.0166,  15.1468,   0.0000,   0.4610,   0.4301,   0.0780,   0.0473,    0.024,    0.117,   18.571,    2.357,    7.683,  464.274,    1.2320,    0.0000,   12.5332,   11.2652,    0.5585,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0619,   0.1943,   0.0991,   0.0355,   0.4372,1101.7085, 799.9625,  23.4661,  93.5088, 984.5470,   0.1657,  18.3045,  26.4483, 465.2432, 491.6915,   0.0700,   0.0000,   0.0272,   0.0184,   0.0312,   0.0189,  25.3490,   0.0000,   0.4955,   0.4609,   0.0890,   0.0540,    0.034,    0.100,   18.171,    3.356,    6.439,  454.284,    1.1651,    0.0000,   11.2558,   11.1888,    0.6474,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0677,   0.2129,   0.1118,   0.0397,   0.4170,1226.4808, 799.8126,  30.1759, 111.3427,1085.1232,   0.2047,  17.9196,  36.3393, 455.3442, 491.6835,   0.0959,   0.0000,   0.0298,   0.0200,   0.0367,   0.0223,  35.1288,   0.0000,   0.5428,   0.4992,   0.1049,   0.0636,    0.038,    0.090,   17.792,    3.768,    5.680,  444.795,    1.1012,    0.0000,   11.1158,   11.0519,    0.6959,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0750,   0.2359,   0.1285,   0.0457,   0.4140,1326.1034, 798.4636,  27.1214,  95.2986,1205.0438,   0.2510,  17.5407,  46.0583, 445.6159, 491.6743,   0.1251,   0.0000,   0.0330,   0.0218,   0.0442,   0.0268,  44.7084,   0.0000,   0.6016,   0.5453,   0.1264,   0.0766,    0.039,    0.085,   17.416,    3.923,    5.277,  435.403,    1.0130,    0.0000,   11.2043,   11.1162,    0.7585,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0838,   0.2636,   0.1376,   0.0516,   0.4093,1077.3901, 799.2357,  33.1425,  91.2173, 952.2684,   0.2963,  17.1707,  55.4926, 436.1853, 491.6779,   0.1485,   0.0000,   0.0369,   0.0240,   0.0541,   0.0328,  53.9723,   0.0003,   0.6721,   0.5997,   0.1546,   0.0937,    0.040,    0.084,   17.047,    3.957,    5.123,  426.168,    0.9379,    0.0000,   11.1897,   11.1145,    0.8342,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0923,   0.2905,   0.1514,   0.0571,   0.3889,1469.5847, 799.7328,  34.2959,  91.0514,1343.7520,   0.3454,  16.8263,  64.1870, 427.4886, 491.6757,   0.1725,   0.0021,   0.0407,   0.0261,   0.0648,   0.0393,  62.3915,   0.1051,   0.7409,   0.6524,   0.1850,   0.1122,    0.039,    0.087,   16.700,    3.945,    5.221,  417.490,    0.8329,    0.0000,   10.7217,   10.6168,    0.9174,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.1015,   0.3194,   0.1658,   0.0622,   0.3742, 932.6990, 799.9380,  45.4193, 105.8530, 781.2292,   0.3992,  16.5007,  72.2670, 419.4183, 491.6853,   0.1976,   0.0045,   0.0447,   0.0284,   0.0772,   0.0468,  70.1631,   0.2260,   0.8146,   0.7088,   0.2207,   0.1338,    0.039,    0.093,   16.369,    3.920,    5.497,  409.223,    0.7779,    0.0000,   10.3608,   10.3059,    0.9971,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.1128,   0.3550,   0.1959,   0.0738,   0.4161, 954.8821, 799.9570,  48.3762, 100.0331, 806.4620,   0.4665,  16.1379,  81.3291, 410.3531, 491.6822,   0.2320,   0.0054,   0.0497,   0.0310,   0.0924,   0.0560,  78.9529,   0.2713,   0.9052,   0.7758,   0.2639,   0.1600,    0.039,    0.096,   16.003,    3.883,    5.698,  400.084,    0.6884,    0.0000,   11.6002,   11.5107,    1.0927,    0.0000,    1.9574,    0.0979,    1.9574,    0.0979,
    9,   0.1259,   0.3962,   0.2225,   0.0848,   0.4273,1027.1952, 798.0443,  62.4939, 105.5576, 861.0629,   0.5431,  15.7709,  90.4825, 401.1931, 491.6756,   0.2690,   0.0068,   0.0555,   0.0342,   0.1106,   0.0670,  87.7687,   0.3404,   1.0103,   0.8555,   0.3159,   0.1915,    0.038,    0.100,   15.633,    3.840,    5.914,  390.815,    0.6243,    0.0000,   11.9837,   11.9196,    1.2039,    0.0000,    2.0498,    0.1025,    2.0498,    0.1025,
   10,   0.1413,   0.4449,   0.2309,   0.0911,   0.3658,1082.7830, 799.9446,  52.8576,  92.7919, 935.2411,   0.6144,  15.4726,  97.7156, 393.9677, 491.6833,   0.2960,   0.0068,   0.0623,   0.0379,   0.1316,   0.0798,  94.6875,   0.3422,   1.1346,   0.9475,   0.3760,   0.2279,    0.038,    0.112,   15.323,    3.817,    6.511,  383.063,    0.5774,    0.0000,   10.3843,   10.3374,    1.3415,    0.0000,    3.8802,    0.1940,    3.8802,    0.1940,
   11,   0.1584,   0.4987,   0.2722,   0.1046,   0.4029, 824.5189, 798.5967,  76.1851, 104.9666, 644.7214,   0.7059,  15.1450, 105.6301, 386.0583, 491.6884,   0.3387,   0.0070,   0.0698,   0.0420,   0.1546,   0.0937, 102.2485,   0.3491,   1.2717,   1.0512,   0.4418,   0.2678,    0.038,    0.121,   14.986,    3.807,    7.082,  374.659,    0.5108,    0.0000,   11.3549,   11.2883,    1.4860,    0.0000,    4.1458,    0.2073,    4.1458,    0.2073,
   12,   0.1778,   0.5594,   0.2916,   0.1165,   0.3921,1075.2305, 799.9981,  75.7552, 104.2762, 893.8038,   0.7957,  14.8370, 113.0268, 378.6561, 491.6830,   0.3708,   0.0082,   0.0783,   0.0467,   0.1816,   0.1101, 109.1897,   0.4101,   1.4266,   1.1670,   0.5189,   0.3145,    0.038,    0.133,   14.666,    3.802,    7.729,  366.659,    0.4668,    0.0000,   11.1620,   11.1180,    1.6528,    0.0000,    3.7507,    0.1875,    3.7507,    0.1875,
   13,   0.2008,   0.6311,   0.3355,   0.1295,   0.3738,1327.3278, 798.0125,  82.0792, 101.7100,1145.5278,   0.9063,  14.5575, 119.5306, 372.1274, 491.6581,   0.4204,   0.0065,   0.0884,   0.0522,   0.2110,   0.1279, 115.3232,   0.3244,   1.6093,   1.3055,   0.6029,   0.3654,    0.038,    0.148,   14.371,    3.818,    8.621,  359.275,    0.4130,    0.0000,   10.6113,   10.5576,    1.8472,    0.0000,    7.1284,    0.3564,    7.1284,    0.3564,
   14,   0.2261,   0.7104,   0.3877,   0.1469,   0.3770,1175.1230, 799.3655, 102.7626, 103.8738, 967.1387,   1.0401,  14.2869, 125.7299, 365.9181, 491.6480,   0.4799,   0.0084,   0.0995,   0.0582,   0.2454,   0.1487, 120.9166,   0.4213,   1.8116,   1.4543,   0.7011,   0.4250,    0.039,    0.165,   14.083,    3.850,    9.616,  352.074,    0.3780,    0.0000,   10.6531,   10.6181,    2.0632,    0.0000,    4.4221,    0.2211,    4.4221,    0.2211,
   15,   0.2563,   0.8050,   0.4222,   0.1681,   0.3894,1483.9203, 799.9954, 111.3538, 103.1252,1268.8149,   1.1738,  14.0171, 131.8672, 359.7783, 491.6454,   0.5302,   0.0085,   0.1127,   0.0653,   0.2846,   0.1725, 126.4507,   0.4251,   2.0529,   1.6326,   0.8131,   0.4928,    0.039,    0.183,   13.795,    3.897,   10.659,  344.879,    0.3436,    0.0000,   10.9641,   10.9296,    2.3122,    0.0000,    7.1859,    0.3593,    7.1859,    0.3593,
   16,   0.2897,   0.9102,   0.5038,   0.1920,   0.3878,1144.0876, 799.1156, 131.5178, 114.8514, 898.5995,   1.3505,  13.7638, 137.5166, 354.1121, 491.6286,   0.6116,   0.0106,   0.1274,   0.0731,   0.3286,   0.1992, 131.3288,   0.5321,   2.3211,   1.8267,   0.9389,   0.5691,    0.040,    0.204,   13.521,    3.956,   11.837,  338.014,    0.3047,    0.0000,   10.8757,   10.8369,    2.5891,    0.0000,    6.0790,    0.3039,    6.0790,    0.3039,
   17,   0.3298,   1.0363,   0.5665,   0.2180,   0.3965, 716.6377, 799.7567, 188.6057, 111.7280, 415.6663,   1.5462,  13.5197, 142.8478, 348.7851, 491.6329,   0.6956,   0.0124,   0.1451,   0.0824,   0.3802,   0.2305, 135.7810,   0.6200,   2.6425,   2.0594,   1.0864,   0.6585,    0.040,    0.227,   13.252,    4.029,   13.171,  331.308,    0.2767,    0.0000,   11.0004,   10.9723,    2.9188,    0.0000,    7.8504,    0.3925,    7.8504,    0.3925,
   18,   0.3745,   1.1762,   0.5877,   0.2390,   0.3849,1101.7085, 799.9563, 139.4355,  91.9377, 870.1476,   1.7213,  13.3080, 147.2396, 344.3722, 491.6118,   0.7500,   0.0136,   0.1647,   0.0926,   0.4362,   0.2643, 139.2444,   0.6790,   2.9994,   2.3154,   1.2462,   0.7553,    0.041,    0.257,   13.009,    4.135,   14.758,  325.228,    0.2525,    0.0000,   10.5544,   10.5302,    3.3057,    0.0000,    9.3297,    0.4665,    9.3297,    0.4665,
