 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0617,   0.1901,   0.1036,   0.0743,   0.1917, 716.6377, 799.7640,  34.3092, 115.6182, 566.9523,   0.1253,   6.4968,  12.1829, 168.5286, 180.7115,   0.0181,   0.0000,   0.0266,   0.0316,   0.0306,   0.0185,  10.7679,   0.0000,   0.4847,   0.7901,   0.0873,   0.0529,    0.011,    0.129,    6.356,    1.109,    8.187,  158.908,    0.3243,    0.0000,    7.4038,    5.2282,    0.9230,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0663,   0.1968,   0.1012,   0.0445,   0.1818,1101.7085, 799.9625,  23.7077,  93.4994, 984.3146,   0.1363,   6.3607,  15.9400, 164.7644, 180.7044,   0.0204,   0.0000,   0.0276,   0.0322,   0.0350,   0.0212,  14.4727,   0.0000,   0.5018,   0.8049,   0.1000,   0.0606,    0.016,    0.121,    6.224,    1.581,    7.270,  155.607,    0.3066,    0.0000,    5.0376,    5.0199,    1.0368,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0708,   0.2050,   0.1095,   0.0459,   0.1738,1226.4808, 799.8135,  29.2292, 111.3534,1086.0586,   0.1530,   6.2337,  19.3874, 161.3108, 180.6983,   0.0274,   0.0000,   0.0287,   0.0334,   0.0395,   0.0240,  17.8472,   0.0000,   0.5229,   0.8360,   0.1130,   0.0684,    0.018,    0.117,    6.099,    1.779,    6.756,  152.484,    0.2914,    0.0000,    4.8242,    4.8090,    1.0580,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0752,   0.2161,   0.1198,   0.0490,   0.1735,1326.1034, 798.4699,  24.8145,  95.3231,1207.3228,   0.1748,   6.1096,  22.6775, 158.0205, 180.6980,   0.0380,   0.0000,   0.0302,   0.0354,   0.0443,   0.0269,  21.0394,   0.0000,   0.5510,   0.8838,   0.1266,   0.0767,    0.019,    0.115,    5.976,    1.862,    6.475,  149.408,    0.2750,    0.0000,    4.7787,    4.7623,    1.1009,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0796,   0.2274,   0.1218,   0.0514,   0.1725,1077.3901, 799.2397,  28.8875,  91.3122, 956.4305,   0.1929,   5.9895,  25.7737, 154.9250, 180.6987,   0.0450,   0.0000,   0.0318,   0.0368,   0.0494,   0.0299,  24.0485,   0.0001,   0.5797,   0.9189,   0.1410,   0.0855,    0.019,    0.115,    5.855,    1.890,    6.384,  146.381,    0.2697,    0.0000,    4.7205,    4.7152,    1.1707,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0834,   0.2365,   0.1268,   0.0529,   0.1652,1469.5847, 799.7339,  28.1403,  91.1493,1349.8132,   0.2122,   5.8789,  28.5475, 152.1565, 180.7040,   0.0531,   0.0010,   0.0331,   0.0382,   0.0540,   0.0327,  26.6914,   0.0505,   0.6031,   0.9547,   0.1544,   0.0935,    0.019,    0.119,    5.741,    1.900,    6.470,  143.534,    0.2525,    0.0000,    4.5048,    4.4875,    1.2155,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.0871,   0.2459,   0.1303,   0.0541,   0.1603, 932.6990, 799.9386,  35.1342, 106.0713, 791.2986,   0.2317,   5.7755,  31.0629, 149.6469, 180.7098,   0.0610,   0.0021,   0.0344,   0.0395,   0.0589,   0.0357,  29.0748,   0.1029,   0.6270,   0.9879,   0.1684,   0.1020,    0.019,    0.123,    5.633,    1.907,    6.664,  140.834,    0.2427,    0.0000,    4.3437,    4.3340,    1.2575,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.0911,   0.2579,   0.1457,   0.0603,   0.1793, 954.8821, 799.9574,  35.4925, 100.3178, 819.0632,   0.2574,   5.6559,  34.0200, 146.6903, 180.7103,   0.0731,   0.0032,   0.0361,   0.0416,   0.0644,   0.0390,  31.8662,   0.1600,   0.6575,   1.0408,   0.1840,   0.1115,    0.019,    0.124,    5.513,    1.905,    6.725,  137.833,    0.2266,    0.0000,    4.8951,    4.8790,    1.3168,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    9,   0.0954,   0.2717,   0.1560,   0.0651,   0.1848,1027.1952, 798.0842,  43.2224, 106.0234, 879.8322,   0.2851,   5.5342,  37.0191, 143.6809, 180.7000,   0.0857,   0.0044,   0.0380,   0.0438,   0.0704,   0.0427,  34.6857,   0.2223,   0.6930,   1.0950,   0.2012,   0.1219,    0.019,    0.124,    5.391,    1.895,    6.794,  134.774,    0.2174,    0.0000,    5.0690,    5.0597,    1.3895,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
   10,   0.0996,   0.2832,   0.1514,   0.0644,   0.1594,1082.7830, 799.9459,  34.2860,  93.0209, 953.6230,   0.3053,   5.4415,  39.1683, 141.5344, 180.7027,   0.0914,   0.0057,   0.0397,   0.0452,   0.0768,   0.0465,  36.6765,   0.2872,   0.7223,   1.1299,   0.2194,   0.1330,    0.019,    0.133,    5.289,    1.897,    7.188,  132.234,    0.2153,    0.0000,    4.3519,    4.3498,    1.4623,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
