 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0608,   0.1768,   0.0800,   0.0701,   0.1916, 716.6377, 799.7633,  39.3533, 115.5028, 562.0243,   0.1073,   6.4955,  12.1992, 168.5146, 180.7138,   0.0059,   0.0000,   0.0248,   0.0287,   0.0299,   0.0181,  10.8931,   0.0000,   0.4508,   0.7182,   0.0854,   0.0517,    0.011,    0.128,    6.356,    1.108,    8.155,  158.906,    0.3455,    0.0000,    7.3861,    5.2316,    0.8890,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0640,   0.1643,   0.0724,   0.0349,   0.1805,1101.7085, 799.9623,  24.8133,  93.4992, 983.2073,   0.1059,   6.3539,  16.1000, 164.6048, 180.7048,   0.0040,   0.0000,   0.0230,   0.0260,   0.0329,   0.0200,  14.8797,   0.0000,   0.4190,   0.6501,   0.0941,   0.0570,    0.016,    0.115,    6.224,    1.568,    7.084,  155.588,    0.3646,    0.0000,    5.0235,    5.0426,    0.8787,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0668,   0.1566,   0.0712,   0.0331,   0.1706,1226.4808, 799.8149,  27.7536, 111.4108,1087.4753,   0.1083,   6.2191,  19.7943, 160.9001, 180.6943,   0.0043,   0.0000,   0.0219,   0.0246,   0.0358,   0.0217,  18.6163,   0.0000,   0.3994,   0.6143,   0.1023,   0.0620,    0.017,    0.104,    6.097,    1.743,    6.341,  152.433,    0.3831,    0.0000,    4.8217,    4.8402,    0.8055,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0693,   0.1552,   0.0736,   0.0334,   0.1678,1326.1034, 798.4684,  22.2075,  95.3839,1209.8727,   0.1142,   6.0859,  23.4254, 157.2736, 180.6989,   0.0060,   0.0000,   0.0217,   0.0243,   0.0387,   0.0234,  22.2453,   0.0000,   0.3957,   0.6069,   0.1105,   0.0670,    0.018,    0.096,    5.972,    1.792,    5.785,  149.308,    0.3890,    0.0000,    4.7970,    4.8029,    0.7700,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0717,   0.1537,   0.0699,   0.0328,   0.1642,1077.3901, 799.2465,  23.8130,  91.4806, 961.3325,   0.1167,   5.9563,  26.9054, 153.7960, 180.7015,   0.0053,   0.0000,   0.0215,   0.0233,   0.0414,   0.0251,  25.7397,   0.0000,   0.3920,   0.5836,   0.1184,   0.0717,    0.018,    0.089,    5.849,    1.781,    5.396,  146.227,    0.3928,    0.0000,    4.7186,    4.7224,    0.7700,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0734,   0.1522,   0.0703,   0.0320,   0.1545,1469.5847, 799.7357,  22.2932,  91.2953,1355.5259,   0.1215,   5.8355,  30.0832, 150.6182, 180.7014,   0.0064,   0.0006,   0.0213,   0.0230,   0.0437,   0.0265,  28.8910,   0.0279,   0.3881,   0.5756,   0.1249,   0.0757,    0.017,    0.085,    5.733,    1.748,    5.163,  143.318,    0.3883,    0.0000,    4.4606,    4.4560,    0.7448,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.0749,   0.1505,   0.0678,   0.0310,   0.1472, 932.6990, 799.9395,  26.3163, 106.3121, 799.8774,   0.1253,   5.7214,  33.0398, 147.6613, 180.7011,   0.0070,   0.0011,   0.0211,   0.0225,   0.0459,   0.0278,  31.8299,   0.0544,   0.3837,   0.5613,   0.1311,   0.0794,    0.017,    0.083,    5.622,    1.711,    5.021,  140.542,    0.3873,    0.0000,    4.2894,    4.2884,    0.7311,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.0764,   0.1508,   0.0724,   0.0332,   0.1619, 954.8821, 799.9581,  25.3362, 100.6262, 828.9134,   0.1316,   5.5924,  36.4858, 144.2178, 180.7036,   0.0090,   0.0016,   0.0211,   0.0226,   0.0481,   0.0291,  35.2348,   0.0811,   0.3845,   0.5648,   0.1374,   0.0832,    0.017,    0.078,    5.498,    1.663,    4.726,  137.455,    0.3728,    0.0000,    4.8329,    4.8184,    0.7261,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    9,   0.0778,   0.1521,   0.0736,   0.0341,   0.1642,1027.1952, 798.1196,  29.2099, 106.4314, 893.4016,   0.1378,   5.4613,  39.9988, 140.7089, 180.7077,   0.0110,   0.0021,   0.0213,   0.0226,   0.0503,   0.0304,  38.7078,   0.1074,   0.3879,   0.5651,   0.1436,   0.0870,    0.016,    0.073,    5.372,    1.611,    4.432,  134.303,    0.3632,    0.0000,    4.9738,    4.9642,    0.7312,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
   10,   0.0790,   0.1519,   0.0691,   0.0320,   0.1390,1082.7830, 799.9467,  22.5826,  93.2253, 965.1589,   0.1415,   5.3557,  42.7199, 137.9862, 180.7061,   0.0113,   0.0027,   0.0213,   0.0222,   0.0523,   0.0317,  41.4052,   0.1328,   0.3875,   0.5544,   0.1495,   0.0906,    0.016,    0.074,    5.266,    1.574,    4.392,  131.658,    0.3633,    0.0000,    4.2548,    4.2549,    0.7337,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
   11,   0.0801,   0.1510,   0.0709,   0.0326,   0.1513, 824.5189, 798.6663,  28.3762, 105.9667, 691.4661,   0.1471,   5.2370,  45.7666, 134.9389, 180.7056,   0.0135,   0.0031,   0.0211,   0.0221,   0.0543,   0.0329,  44.4228,   0.1570,   0.3851,   0.5527,   0.1551,   0.0940,    0.015,    0.071,    5.151,    1.537,    4.279,  128.769,    0.3539,    0.0000,    4.6119,    4.6026,    0.7108,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
   12,   0.0810,   0.1505,   0.0684,   0.0323,   0.1452,1075.2305, 799.9984,  25.1179, 105.2011, 943.5895,   0.1501,   5.1250,  48.6731, 132.0206, 180.6936,   0.0135,   0.0036,   0.0211,   0.0216,   0.0562,   0.0341,  47.3113,   0.1808,   0.3839,   0.5391,   0.1606,   0.0973,    0.015,    0.070,    5.040,    1.502,    4.174,  126.003,    0.3414,    0.0000,    4.5424,    4.5298,    0.7207,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
   13,   0.0819,   0.1506,   0.0699,   0.0317,   0.1363,1327.3278, 798.4196,  24.2709, 102.5409,1202.1051,   0.1559,   5.0210,  51.2942, 129.3923, 180.6865,   0.0158,   0.0041,   0.0211,   0.0217,   0.0581,   0.0352,  49.8981,   0.2039,   0.3841,   0.5416,   0.1660,   0.1006,    0.015,    0.069,    4.937,    1.473,    4.151,  123.423,    0.3455,    0.0000,    4.2936,    4.2978,    0.6990,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
   14,   0.0842,   0.1584,   0.0747,   0.0341,   0.1352,1175.1230, 799.4180,  27.7816, 104.7707,1041.5813,   0.1628,   4.9193,  53.9037, 126.7963, 180.7000,   0.0183,   0.0029,   0.0222,   0.0227,   0.0603,   0.0365,  52.5108,   0.1461,   0.4039,   0.5665,   0.1722,   0.1043,    0.014,    0.070,    4.835,    1.448,    4.146,  120.876,    0.3262,    0.0000,    4.3639,    4.3446,    0.7286,    0.0000,    1.6359,    0.0818,    1.6359,    0.0818,
   15,   0.0861,   0.1615,   0.0745,   0.0349,   0.1373,1483.9203, 799.9960,  27.7655, 104.4293,1351.1578,   0.1675,   4.8167,  56.4887, 124.2127, 180.7014,   0.0193,   0.0026,   0.0226,   0.0229,   0.0623,   0.0378,  55.0873,   0.1321,   0.4119,   0.5713,   0.1781,   0.1079,    0.014,    0.070,    4.732,    1.426,    4.159,  118.309,    0.3184,    0.0000,    4.4171,    4.4093,    0.7540,    0.0000,    0.7759,    0.0388,    0.7759,    0.0388,
   16,   0.0876,   0.1658,   0.0814,   0.0364,   0.1342,1144.0876, 799.2874,  29.8387, 116.2019, 998.7620,   0.1771,   4.7177,  58.9787, 121.7218, 180.7005,   0.0235,   0.0032,   0.0232,   0.0236,   0.0645,   0.0391,  57.5107,   0.1585,   0.4229,   0.5907,   0.1843,   0.1117,    0.014,    0.071,    4.633,    1.407,    4.192,  115.822,    0.3008,    0.0000,    4.3832,    4.3655,    0.7633,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
   17,   0.0889,   0.1694,   0.0798,   0.0368,   0.1344, 716.6377, 799.7633,  38.4556, 115.2944, 562.4185,   0.1835,   4.6195,  61.4345, 119.2640, 180.6985,   0.0251,   0.0037,   0.0237,   0.0240,   0.0667,   0.0404,  59.9130,   0.1845,   0.4319,   0.5991,   0.1905,   0.1154,    0.014,    0.072,    4.534,    1.390,    4.234,  113.348,    0.2921,    0.0000,    4.4223,    4.4137,    0.7870,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
   18,   0.0907,   0.1705,   0.0752,   0.0359,   0.1272,1101.7085, 799.9620,  25.2168,  93.5030, 982.8005,   0.1857,   4.5291,  63.6509, 117.0499, 180.7008,   0.0241,   0.0034,   0.0239,   0.0239,   0.0688,   0.0417,  62.1320,   0.1707,   0.4348,   0.5979,   0.1965,   0.1190,    0.014,    0.073,    4.442,    1.378,    4.338,  111.048,    0.2860,    0.0000,    4.2403,    4.2342,    0.7953,    0.0000,    0.7691,    0.0385,    0.7691,    0.0385,
   19,   0.0919,   0.1720,   0.0778,   0.0358,   0.1220,1226.4808, 799.8143,  30.1165, 111.3763,1085.1479,   0.1909,   4.4436,  65.7294, 114.9716, 180.7010,   0.0250,   0.0039,   0.0241,   0.0241,   0.0708,   0.0429,  64.1656,   0.1971,   0.4386,   0.6032,   0.2023,   0.1226,    0.014,    0.075,    4.355,    1.367,    4.451,  108.867,    0.2862,    0.0000,    4.1413,    4.1415,    0.7896,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
   20,   0.0945,   0.1816,   0.0857,   0.0387,   0.1223,1326.1034, 798.4569,  25.8266,  95.3369,1206.3077,   0.1998,   4.3591,  67.7974, 112.9048, 180.7022,   0.0284,   0.0030,   0.0254,   0.0255,   0.0732,   0.0443,  66.2109,   0.1491,   0.4632,   0.6385,   0.2091,   0.1267,    0.014,    0.077,    4.269,    1.360,    4.554,  106.715,    0.2758,    0.0000,    4.1970,    4.1866,    0.8144,    0.0000,    1.5192,    0.0760,    1.5192,    0.0760,
