 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0571,   0.1791,   0.1003,   0.0514,   0.5166, 716.6377, 799.7641,  33.3801, 115.6282, 567.8720,   0.1334,  21.1546,  16.7129, 537.1030, 553.8159,   0.0508,   0.0000,   0.0251,   0.0144,   0.0268,   0.0163,  15.7726,   0.0000,   0.4567,   0.3604,   0.0767,   0.0465,    0.026,    0.115,   21.014,    2.607,    7.558,  525.345,    1.5924,    0.0000,   13.3131,   12.4055,    0.4859,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0618,   0.1941,   0.0983,   0.0337,   0.4883,1101.7085, 799.9625,  23.2896,  93.5124, 984.7195,   0.1711,  20.6929,  28.3821, 525.4362, 553.8182,   0.0786,   0.0000,   0.0272,   0.0155,   0.0310,   0.0188,  27.3578,   0.0000,   0.4950,   0.3868,   0.0887,   0.0538,    0.037,    0.095,   20.561,    3.710,    6.211,  514.017,    1.4983,    0.0000,   12.5641,   12.4700,    0.5607,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0686,   0.2158,   0.1124,   0.0387,   0.4654,1226.4808, 799.8125,  30.3279, 111.3412,1084.9720,   0.2152,  20.2566,  39.6331, 514.2232, 553.8564,   0.1078,   0.0000,   0.0302,   0.0169,   0.0376,   0.0228,  38.4884,   0.0000,   0.5504,   0.4220,   0.1073,   0.0651,    0.042,    0.084,   20.131,    4.163,    5.371,  503.272,    1.4170,    0.0000,   12.4252,   12.3439,    0.6065,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0773,   0.2432,   0.1313,   0.0455,   0.4617,1326.1034, 798.4613,  27.7085,  95.2919,1204.4669,   0.2678,  19.8271,  50.7051, 503.1549, 553.8600,   0.1403,   0.0000,   0.0341,   0.0186,   0.0466,   0.0283,  49.4051,   0.0000,   0.6202,   0.4659,   0.1332,   0.0807,    0.043,    0.078,   19.706,    4.331,    4.892,  492.639,    1.2924,    0.0000,   12.5330,   12.4085,    0.6683,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0878,   0.2763,   0.1430,   0.0526,   0.4562,1077.3901, 799.2344,  34.4462,  91.1883, 950.9933,   0.3207,  19.4073,  61.4606, 492.3942, 553.8547,   0.1669,   0.0000,   0.0387,   0.0208,   0.0587,   0.0356,  59.9672,   0.0003,   0.7046,   0.5190,   0.1678,   0.1017,    0.044,    0.077,   19.287,    4.363,    4.687,  482.178,    1.1652,    0.0000,   12.5144,   12.3871,    0.7450,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0981,   0.3088,   0.1597,   0.0592,   0.4330,1469.5847, 799.7325,  36.1901,  91.0221,1341.8875,   0.3789,  19.0161,  71.3967, 482.4839, 553.8806,   0.1944,   0.0026,   0.0432,   0.0229,   0.0720,   0.0437,  69.5775,   0.1297,   0.7875,   0.5713,   0.2058,   0.1248,    0.043,    0.079,   18.894,    4.344,    4.748,  472.344,    1.0485,    0.0000,   11.9958,   11.8791,    0.8305,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.1092,   0.3439,   0.1773,   0.0655,   0.4162, 932.6990, 799.9379,  48.5741, 105.7885, 778.1384,   0.4434,  18.6469,  80.6387, 473.2558, 553.8945,   0.2235,   0.0056,   0.0481,   0.0251,   0.0878,   0.0533,  78.4500,   0.2809,   0.8769,   0.6279,   0.2510,   0.1522,    0.043,    0.084,   18.520,    4.310,    4.998,  462.999,    0.9491,    0.0000,   11.5841,   11.4847,    0.9140,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.1235,   0.3890,   0.2131,   0.0793,   0.4624, 954.8821, 799.9568,  52.6254,  99.9444, 802.3013,   0.5242,  18.2375,  90.8909, 462.9823, 553.8732,   0.2638,   0.0059,   0.0545,   0.0279,   0.1072,   0.0650,  88.4122,   0.2975,   0.9919,   0.6975,   0.3062,   0.1856,    0.043,    0.087,   18.108,    4.264,    5.205,  452.690,    0.8239,    0.0000,   12.8829,   12.7577,    1.0180,    0.0000,    3.2850,    0.1643,    3.2850,    0.1643,
    9,   0.1401,   0.4411,   0.2460,   0.0927,   0.4747,1027.1952, 798.0302,  69.0744, 105.4056, 854.6503,   0.6176,  17.8224, 101.2594, 452.6146, 553.8740,   0.3074,   0.0074,   0.0618,   0.0312,   0.1306,   0.0792,  98.3847,   0.3694,   1.1247,   0.7810,   0.3733,   0.2263,    0.042,    0.092,   17.688,    4.212,    5.449,  442.209,    0.7442,    0.0000,   13.3247,   13.2449,    1.1386,    0.0000,    2.9484,    0.1474,    2.9484,    0.1474,
   10,   0.1598,   0.5030,   0.2592,   0.1011,   0.4060,1082.7830, 799.9441,  59.3344,  92.7163, 928.8253,   0.7073,  17.4839, 109.5053, 444.3716, 553.8770,   0.3406,   0.0075,   0.0704,   0.0351,   0.1579,   0.0957, 106.2459,   0.3736,   1.2826,   0.8784,   0.4512,   0.2735,    0.042,    0.104,   17.338,    4.182,    6.070,  433.445,    0.6742,    0.0000,   11.5604,   11.4905,    1.2894,    0.0000,    4.9624,    0.2481,    4.9624,    0.2481,
