 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0597,   0.1812,   0.0807,   0.0650,   0.3000, 716.6377, 799.7632,  39.7536, 115.4933, 561.6343,   0.1084,  11.3825,  13.8224, 291.2809, 305.1033,   0.0118,   0.0000,   0.0254,   0.0247,   0.0290,   0.0175,  12.6105,   0.0000,   0.4620,   0.6171,   0.0827,   0.0501,    0.016,    0.124,   11.242,    1.608,    8.027,  281.059,    0.5874,    0.0000,    9.4903,    7.5777,    0.7645,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0630,   0.1784,   0.0758,   0.0356,   0.2833,1101.7085, 799.9624,  26.2146,  93.4804, 981.8242,   0.1125,  11.1357,  20.2224, 284.8790, 305.1014,   0.0123,   0.0000,   0.0250,   0.0237,   0.0321,   0.0194,  19.0271,   0.0000,   0.4549,   0.5934,   0.0916,   0.0555,    0.023,    0.109,   11.003,    2.284,    6.904,  275.087,    0.6035,    0.0000,    7.4824,    7.4985,    0.8059,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0659,   0.1781,   0.0783,   0.0352,   0.2694,1226.4808, 799.8138,  30.8639, 111.3587,1084.4176,   0.1205,  10.9014,  26.3248, 278.7692, 305.0940,   0.0157,   0.0000,   0.0249,   0.0235,   0.0351,   0.0213,  25.1223,   0.0000,   0.4542,   0.5873,   0.1003,   0.0608,    0.026,    0.100,   10.776,    2.555,    6.191,  269.408,    0.6148,    0.0000,    7.2869,    7.2981,    0.7800,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0688,   0.1821,   0.0838,   0.0366,   0.2665,1326.1034, 798.4577,  25.7887,  95.3327,1206.3481,   0.1326,  10.6698,  32.3624, 272.7453, 305.1077,   0.0217,   0.0000,   0.0255,   0.0240,   0.0382,   0.0232,  31.1233,   0.0000,   0.4643,   0.5995,   0.1092,   0.0662,    0.026,    0.092,   10.551,    2.647,    5.710,  263.776,    0.6113,    0.0000,    7.3424,    7.3390,    0.7783,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0716,   0.1857,   0.0818,   0.0370,   0.2624,1077.3901, 799.2424,  28.4416,  91.3585, 956.8159,   0.1411,  10.4433,  38.2723, 266.8378, 305.1101,   0.0247,   0.0000,   0.0260,   0.0239,   0.0414,   0.0251,  37.0103,   0.0001,   0.4734,   0.5987,   0.1182,   0.0716,    0.027,    0.088,   10.329,    2.654,    5.364,  258.222,    0.5978,    0.0000,    7.3581,    7.3445,    0.8010,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0739,   0.1886,   0.0840,   0.0371,   0.2481,1469.5847, 799.7347,  27.3396,  91.1938,1350.5719,   0.1513,  10.2316,  43.7183, 261.3778, 305.0961,   0.0291,   0.0007,   0.0264,   0.0242,   0.0442,   0.0268,  42.3963,   0.0325,   0.4808,   0.6060,   0.1262,   0.0765,    0.026,    0.086,   10.120,    2.627,    5.195,  252.989,    0.5660,    0.0000,    7.0138,    6.9821,    0.8024,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.0761,   0.1915,   0.0838,   0.0370,   0.2376, 932.6990, 799.9391,  33.1192, 106.1438, 793.2418,   0.1609,  10.0312,  48.7814, 256.2824, 305.0639,   0.0329,   0.0013,   0.0268,   0.0244,   0.0471,   0.0285,  47.4023,   0.0654,   0.4884,   0.6095,   0.1344,   0.0815,    0.026,    0.085,    9.920,    2.591,    5.133,  248.002,    0.5569,    0.0000,    6.7470,    6.7379,    0.8095,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.0784,   0.1965,   0.0916,   0.0406,   0.2626, 954.8821, 799.9577,  32.6090, 100.4296, 821.8341,   0.1739,   9.8070,  54.5748, 250.5144, 305.0892,   0.0388,   0.0020,   0.0275,   0.0251,   0.0502,   0.0304,  53.1165,   0.1002,   0.5011,   0.6269,   0.1433,   0.0868,    0.025,    0.082,    9.699,    2.541,    4.964,  242.484,    0.5255,    0.0000,    7.5943,    7.5629,    0.8254,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    9,   0.0808,   0.2025,   0.0954,   0.0427,   0.2678,1027.1952, 798.1000,  38.5047, 106.1692, 884.3873,   0.1873,   9.5786,  60.4630, 244.6377, 305.1007,   0.0447,   0.0027,   0.0283,   0.0257,   0.0534,   0.0324,  58.9227,   0.1366,   0.5163,   0.6421,   0.1527,   0.0925,    0.025,    0.080,    9.474,    2.484,    4.787,  236.853,    0.5136,    0.0000,    7.8293,    7.8174,    0.8496,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
   10,   0.0831,   0.2073,   0.0916,   0.0413,   0.2275,1082.7830, 799.9464,  30.3687,  93.0943, 957.4839,   0.1971,   9.3917,  65.1689, 239.9379, 305.1068,   0.0473,   0.0035,   0.0290,   0.0259,   0.0569,   0.0345,  63.5571,   0.1740,   0.5285,   0.6482,   0.1625,   0.0985,    0.024,    0.083,    9.285,    2.442,    4.878,  232.118,    0.4996,    0.0000,    6.7882,    6.7742,    0.8731,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
   11,   0.0854,   0.2113,   0.0968,   0.0433,   0.2485, 824.5189, 798.6525,  39.1837, 105.6969, 680.9434,   0.2098,   9.1841,  70.3712, 234.7291, 305.1003,   0.0526,   0.0042,   0.0296,   0.0264,   0.0603,   0.0366,  68.6829,   0.2115,   0.5389,   0.6611,   0.1724,   0.1045,    0.024,    0.082,    9.078,    2.401,    4.890,  226.959,    0.4789,    0.0000,    7.3788,    7.3581,    0.8730,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
   12,   0.0883,   0.2179,   0.0961,   0.0444,   0.2394,1075.2305, 799.9984,  35.7427, 104.9518, 933.1985,   0.2190,   8.9868,  75.3534, 229.7438, 305.0972,   0.0547,   0.0041,   0.0305,   0.0268,   0.0641,   0.0388,  73.6279,   0.2067,   0.5558,   0.6689,   0.1831,   0.1109,    0.024,    0.083,    8.880,    2.362,    4.909,  222.008,    0.4653,    0.0000,    7.2959,    7.2823,    0.9064,    0.0000,    0.8840,    0.0442,    0.8840,    0.0442,
   13,   0.0907,   0.2237,   0.1010,   0.0447,   0.2254,1327.3278, 798.3280,  35.5731, 102.3489,1191.0813,   0.2325,   8.8038,  79.8947, 225.2014, 305.0961,   0.0599,   0.0049,   0.0313,   0.0274,   0.0678,   0.0411,  78.0801,   0.2468,   0.5704,   0.6862,   0.1938,   0.1174,    0.023,    0.085,    8.696,    2.330,    5.026,  217.395,    0.4499,    0.0000,    6.9585,    6.9432,    0.9103,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
