 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0601,   0.1876,   0.1031,   0.0669,   0.3000, 716.6377, 799.7640,  34.2200, 115.6171, 567.0430,   0.1282,  11.3830,  13.8219, 291.2803, 305.1022,   0.0290,   0.0000,   0.0263,   0.0260,   0.0293,   0.0177,  12.5585,   0.0000,   0.4784,   0.6507,   0.0836,   0.0507,    0.016,    0.125,   11.242,    1.608,    8.040,  281.059,    0.5726,    0.0000,    9.5044,    7.5769,    0.7791,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0644,   0.1994,   0.1018,   0.0421,   0.2841,1101.7085, 799.9625,  23.9922,  93.4981, 984.0323,   0.1474,  11.1394,  20.1587, 284.9363, 305.0950,   0.0384,   0.0000,   0.0279,   0.0275,   0.0333,   0.0202,  18.8089,   0.0000,   0.5086,   0.6883,   0.0952,   0.0577,    0.023,    0.113,   11.004,    2.293,    7.016,  275.088,    0.5401,    0.0000,    7.5183,    7.4859,    0.9051,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0688,   0.2120,   0.1121,   0.0443,   0.2715,1226.4808, 799.8127,  30.1478, 111.3396,1085.1536,   0.1724,  10.9102,  26.1095, 278.9722, 305.0817,   0.0529,   0.0000,   0.0297,   0.0292,   0.0377,   0.0229,  24.6650,   0.0000,   0.5406,   0.7307,   0.1078,   0.0653,    0.026,    0.108,   10.777,    2.580,    6.461,  269.420,    0.5113,    0.0000,    7.3027,    7.2739,    0.9487,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0737,   0.2273,   0.1247,   0.0485,   0.2704,1326.1034, 798.4666,  26.1220,  95.3079,1206.0316,   0.2028,  10.6849,  31.9139, 273.1760, 305.0899,   0.0707,   0.0000,   0.0318,   0.0314,   0.0429,   0.0260,  30.3534,   0.0000,   0.5795,   0.7841,   0.1226,   0.0743,    0.027,    0.105,   10.553,    2.696,    6.188,  263.814,    0.4783,    0.0000,    7.3347,    7.3017,    1.0081,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0792,   0.2442,   0.1291,   0.0522,   0.2683,1077.3901, 799.2379,  30.9345,  91.2650, 954.4294,   0.2299,  10.4662,  37.4554, 267.6318, 305.0872,   0.0836,   0.0000,   0.0342,   0.0334,   0.0490,   0.0297,  35.7717,   0.0001,   0.6228,   0.8359,   0.1400,   0.0848,    0.027,    0.106,   10.333,    2.731,    6.137,  258.314,    0.4495,    0.0000,    7.2674,    7.2386,    1.0877,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0843,   0.2598,   0.1369,   0.0552,   0.2561,1469.5847, 799.7334,  30.8146,  91.1055,1347.1794,   0.2583,  10.2641,  42.4627, 262.6068, 305.0695,   0.0968,   0.0013,   0.0364,   0.0354,   0.0551,   0.0334,  40.5987,   0.0634,   0.6624,   0.8853,   0.1574,   0.0954,    0.027,    0.110,   10.126,    2.738,    6.302,  253.160,    0.4075,    0.0000,    6.9137,    6.8717,    1.1574,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.0896,   0.2762,   0.1445,   0.0580,   0.2476, 932.6990, 799.9384,  39.3677, 105.9798, 787.1549,   0.2883,  10.0734,  47.0706, 257.9859, 305.0565,   0.1102,   0.0026,   0.0387,   0.0374,   0.0619,   0.0375,  45.0139,   0.1324,   0.7043,   0.9361,   0.1768,   0.1072,    0.027,    0.116,    9.930,    2.738,    6.601,  248.247,    0.4007,    0.0000,    6.6792,    6.6724,    1.2220,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.0954,   0.2950,   0.1645,   0.0658,   0.2762, 954.8821, 799.9572,  40.4428, 100.2041, 814.2249,   0.3265,   9.8575,  52.4394, 252.6584, 305.0978,   0.1291,   0.0042,   0.0413,   0.0399,   0.0697,   0.0423,  50.1585,   0.2107,   0.7523,   0.9981,   0.1992,   0.1207,    0.027,    0.118,    9.712,    2.728,    6.768,  242.796,    0.3667,    0.0000,    7.6111,    7.5771,    1.3009,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    9,   0.1024,   0.3177,   0.1802,   0.0728,   0.2845,1027.1952, 798.0702,  50.4369, 105.8448, 872.8104,   0.3688,   9.6378,  57.8379, 247.2609, 305.0988,   0.1499,   0.0051,   0.0445,   0.0427,   0.0788,   0.0478,  55.3446,   0.2539,   0.8101,   1.0675,   0.2252,   0.1365,    0.027,    0.121,    9.490,    2.710,    6.955,  237.245,    0.3517,    0.0000,    7.8427,    7.8277,    1.3955,    0.0000,    0.9107,    0.0455,    0.9107,    0.0455,
   10,   0.1100,   0.3414,   0.1796,   0.0746,   0.2444,1082.7830, 799.9455,  40.9995,  92.9350, 946.9810,   0.4032,   9.4633,  61.9328, 243.1650, 305.0978,   0.1613,   0.0060,   0.0478,   0.0454,   0.0889,   0.0539,  59.2196,   0.3000,   0.8705,   1.1349,   0.2539,   0.1539,    0.027,    0.132,    9.304,    2.706,    7.522,  232.603,    0.3346,    0.0000,    6.7534,    6.7363,    1.5018,    0.0000,    1.0266,    0.0513,    1.0266,    0.0513,
   11,   0.1186,   0.3684,   0.2032,   0.0826,   0.2704, 824.5189, 798.6233,  56.7348, 105.3240, 663.7906,   0.4486,   9.2675,  66.6064, 238.4814, 305.0879,   0.1823,   0.0061,   0.0516,   0.0487,   0.0996,   0.0604,  63.6879,   0.3047,   0.9395,   1.2172,   0.2846,   0.1725,    0.027,    0.138,    9.102,    2.713,    7.902,  227.560,    0.3062,    0.0000,    7.5069,    7.4786,    1.5947,    0.0000,    1.9591,    0.0980,    1.9591,    0.0980,
   12,   0.1301,   0.4022,   0.2126,   0.0904,   0.2640,1075.2305, 799.9983,  55.0810, 104.5862, 914.1959,   0.4884,   9.0851,  70.9037, 234.1783, 305.0820,   0.1944,   0.0048,   0.0563,   0.0528,   0.1121,   0.0679,  67.8019,   0.2420,   1.0257,   1.3198,   0.3202,   0.1940,    0.027,    0.148,    8.910,    2.721,    8.416,  222.752,    0.2889,    0.0000,    7.3755,    7.3582,    1.7461,    0.0000,    3.5694,    0.1785,    3.5694,    0.1785,
   13,   0.1418,   0.4363,   0.2348,   0.0959,   0.2529,1327.3278, 798.1974,  57.2928, 102.0252,1169.8181,   0.5389,   8.9198,  74.6809, 230.3996, 305.0804,   0.2160,   0.0040,   0.0611,   0.0569,   0.1251,   0.0758,  71.3716,   0.1997,   1.1126,   1.4228,   0.3575,   0.2167,    0.027,    0.160,    8.732,    2.746,    9.079,  218.308,    0.2672,    0.0000,    7.0625,    7.0408,    1.8673,    0.0000,    3.3045,    0.1652,    3.3045,    0.1652,
   14,   0.1534,   0.4725,   0.2612,   0.1048,   0.2559,1175.1230, 799.3895,  68.9696, 104.2432,1000.7244,   0.5996,   8.7590,  78.3395, 226.7513, 305.0907,   0.2415,   0.0058,   0.0662,   0.0613,   0.1400,   0.0849,  74.6690,   0.2909,   1.2050,   1.5320,   0.4001,   0.2424,    0.028,    0.173,    8.558,    2.780,    9.758,  213.960,    0.2536,    0.0000,    7.1687,    7.1552,    2.0166,    0.0000,    1.0005,    0.0500,    1.0005,    0.0500,
   15,   0.1672,   0.5145,   0.2742,   0.1153,   0.2651,1483.9203, 799.9956,  72.1220, 103.6675,1307.5265,   0.6547,   8.5970,  82.0245, 223.0682, 305.0927,   0.2596,   0.0056,   0.0720,   0.0660,   0.1565,   0.0949,  78.0624,   0.2813,   1.3120,   1.6505,   0.4472,   0.2710,    0.028,    0.185,    8.384,    2.822,   10.408,  209.599,    0.2393,    0.0000,    7.4329,    7.4186,    2.1811,    0.0000,    3.2714,    0.1636,    3.2714,    0.1636,
