 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0575,   0.1799,   0.0800,   0.0548,   0.4625, 716.6377, 799.7632,  39.5484, 115.4936, 561.8376,   0.1117,  18.7116,  16.1634, 475.5463, 491.7097,   0.0257,   0.0000,   0.0252,   0.0171,   0.0272,   0.0165,  15.1517,   0.0000,   0.4586,   0.4283,   0.0777,   0.0471,    0.024,    0.117,   18.571,    2.357,    7.680,  464.274,    1.2351,    0.0000,   12.5315,   11.2666,    0.5566,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0606,   0.1875,   0.0773,   0.0332,   0.4370,1101.7085, 799.9623,  27.0271,  93.4728, 981.0196,   0.1268,  18.3035,  26.4686, 465.2249, 491.6935,   0.0345,   0.0000,   0.0263,   0.0177,   0.0301,   0.0182,  25.4092,   0.0000,   0.4782,   0.4432,   0.0859,   0.0521,    0.034,    0.099,   18.171,    3.353,    6.397,  454.284,    1.1908,    0.0000,   11.2557,   11.2115,    0.6273,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0641,   0.1969,   0.0838,   0.0347,   0.4162,1226.4808, 799.8123,  33.4505, 111.3192,1081.8706,   0.1458,  17.9169,  36.4205, 455.2685, 491.6889,   0.0459,   0.0000,   0.0276,   0.0185,   0.0335,   0.0203,  35.3026,   0.0000,   0.5021,   0.4620,   0.0957,   0.0580,    0.038,    0.088,   17.792,    3.759,    5.553,  444.793,    1.1630,    0.0000,   11.1257,   11.0978,    0.6445,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0684,   0.2099,   0.0936,   0.0381,   0.4124,1326.1034, 798.4470,  29.3987,  95.2880,1202.7930,   0.1695,  17.5354,  46.2547, 445.4300, 491.6846,   0.0598,   0.0000,   0.0294,   0.0196,   0.0378,   0.0229,  45.0561,   0.0000,   0.5352,   0.4899,   0.1080,   0.0654,    0.039,    0.080,   17.416,    3.905,    5.022,  435.398,    1.1058,    0.0000,   11.2378,   11.1805,    0.6752,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0732,   0.2244,   0.0954,   0.0408,   0.4068,1077.3901, 799.2381,  33.7991,  91.2318, 951.5809,   0.1899,  17.1617,  55.8611, 435.8275, 491.6886,   0.0688,   0.0000,   0.0314,   0.0206,   0.0430,   0.0261,  54.5761,   0.0001,   0.5723,   0.5154,   0.1228,   0.0744,    0.039,    0.077,   17.046,    3.925,    4.715,  426.138,    1.0498,    0.0000,   11.2524,   11.1965,    0.7208,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0778,   0.2381,   0.1020,   0.0431,   0.3853,1469.5847, 799.7332,  34.0361,  91.0794,1343.9856,   0.2124,  16.8116,  64.7855, 426.8881, 491.6736,   0.0788,   0.0011,   0.0333,   0.0217,   0.0482,   0.0292,  63.3607,   0.0548,   0.6071,   0.5415,   0.1379,   0.0836,    0.039,    0.076,   16.696,    3.896,    4.624,  417.404,    0.9643,    0.0000,   10.8007,   10.7152,    0.7591,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.0826,   0.2526,   0.1070,   0.0451,   0.3694, 932.6990, 799.9385,  43.0900, 105.9237, 783.4883,   0.2360,  16.4793,  73.1646, 418.5168, 491.6814,   0.0886,   0.0023,   0.0354,   0.0227,   0.0542,   0.0328,  71.5887,   0.1150,   0.6441,   0.5682,   0.1547,   0.0938,    0.039,    0.078,   16.363,    3.852,    4.673,  409.070,    0.9218,    0.0000,   10.4715,   10.4289,    0.7968,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.0877,   0.2692,   0.1214,   0.0513,   0.4090, 954.8821, 799.9573,  43.9928, 100.1605, 810.7181,   0.2652,  16.1095,  82.5468, 409.1343, 491.6811,   0.1020,   0.0037,   0.0377,   0.0241,   0.0609,   0.0369,  80.7960,   0.1828,   0.6864,   0.6019,   0.1741,   0.1055,    0.038,    0.077,   15.994,    3.790,    4.650,  399.853,    0.8400,    0.0000,   11.6881,   11.6064,    0.8427,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    9,   0.0938,   0.2887,   0.1321,   0.0565,   0.4182,1027.1952, 798.0679,  54.2215, 105.7756, 869.0953,   0.2970,  15.7350,  92.0314, 399.6405, 491.6719,   0.1165,   0.0043,   0.0404,   0.0255,   0.0687,   0.0417,  90.1295,   0.2128,   0.7361,   0.6377,   0.1964,   0.1190,    0.037,    0.078,   15.620,    3.721,    4.633,  390.505,    0.7813,    0.0000,   12.0330,   11.9743,    0.8974,    0.0000,    0.9289,    0.0464,    0.9289,    0.0464,
   10,   0.1003,   0.3089,   0.1323,   0.0574,   0.3559,1082.7830, 799.9457,  44.4934,  92.9029, 943.5147,   0.3249,  15.4258,  99.7248, 391.9480, 491.6728,   0.1256,   0.0049,   0.0432,   0.0269,   0.0774,   0.0469,  97.6628,   0.2468,   0.7877,   0.6723,   0.2211,   0.1340,    0.037,    0.083,   15.306,    3.669,    4.890,  382.645,    0.7437,    0.0000,   10.4911,   10.4536,    0.9573,    0.0000,    1.0087,    0.0504,    1.0087,    0.0504,
