 year,         CAI,         LAI,         GPP,       Rauto,          Rh,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,        totN,         NSC,       SeedC,       leafC,       rootC,    SapwoodC,       WoodC,         NSN,       SeedN,       leafN,       rootN,    SapwoodN,       WoodN,       McrbC,     fastSOM,     SlowSOM,       McrbN,   fastSoilN,   slowSoilN,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,       seedC,       seedN,  Seedling-C,  Seedling-N,
    1,   0.0623,   0.1897,   0.1036,   0.0775,   0.1375, 716.6377, 799.7640,  34.2304, 115.6207, 567.0284,   0.1242,   4.0536,  11.3259, 107.1786, 118.5045,   0.0136,   0.0000,   0.0266,   0.0341,   0.0311,   0.0189,   9.8478,   0.0000,   0.4838,   0.8515,   0.0889,   0.0539,    0.009,    0.132,    3.913,    0.859,    8.257,   97.834,    0.2296,    0.0000,    6.3119,    4.0415,    0.9907,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    2,   0.0671,   0.1927,   0.1000,   0.0449,   0.1305,1101.7085, 799.9625,  23.3373,  93.5037, 984.6808,   0.1317,   3.9707,  13.8205, 104.6846, 118.5052,   0.0136,   0.0000,   0.0270,   0.0339,   0.0356,   0.0216,  12.3176,   0.0000,   0.4914,   0.8481,   0.1018,   0.0617,    0.012,    0.124,    3.835,    1.224,    7.377,   95.865,    0.2185,    0.0000,    3.8081,    3.7970,    1.0870,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    3,   0.0715,   0.1981,   0.1066,   0.0457,   0.1247,1226.4808, 799.8138,  28.3338, 111.3677,1086.9418,   0.1445,   3.8940,  16.0478, 102.4544, 118.5021,   0.0175,   0.0000,   0.0277,   0.0347,   0.0402,   0.0244,  14.4902,   0.0000,   0.5051,   0.8680,   0.1149,   0.0696,    0.014,    0.120,    3.760,    1.376,    6.864,   94.007,    0.2073,    0.0000,    3.5930,    3.5818,    1.0894,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    4,   0.0759,   0.2070,   0.1156,   0.0485,   0.1245,1326.1034, 798.4723,  23.7582,  95.3364,1208.3618,   0.1622,   3.8190,  18.1339, 100.3690, 118.5029,   0.0246,   0.0000,   0.0290,   0.0364,   0.0450,   0.0273,  16.4899,   0.0000,   0.5279,   0.9097,   0.1285,   0.0779,    0.014,    0.118,    3.687,    1.439,    6.557,   92.175,    0.1978,    0.0000,    3.5261,    3.5166,    1.1190,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    5,   0.0801,   0.2161,   0.1167,   0.0503,   0.1239,1077.3901, 799.2407,  27.4888,  91.3459, 957.7982,   0.1762,   3.7475,  20.0513,  98.4550, 118.5063,   0.0284,   0.0000,   0.0303,   0.0374,   0.0499,   0.0302,  18.3364,   0.0001,   0.5511,   0.9348,   0.1425,   0.0863,    0.015,    0.118,    3.615,    1.460,    6.425,   90.377,    0.1923,    0.0000,    3.4618,    3.4563,    1.1817,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    6,   0.0835,   0.2228,   0.1208,   0.0512,   0.1189,1469.5847, 799.7343,  26.5616,  91.1766,1351.3647,   0.1917,   3.6826,  21.7080,  96.7972, 118.5052,   0.0340,   0.0010,   0.0312,   0.0385,   0.0542,   0.0328,  19.8809,   0.0477,   0.5681,   0.9625,   0.1549,   0.0939,    0.015,    0.120,    3.548,    1.469,    6.454,   88.694,    0.1801,    0.0000,    3.2710,    3.2588,    1.2133,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    7,   0.0868,   0.2292,   0.1226,   0.0517,   0.1158, 932.6990, 799.9388,  32.8498, 106.1221, 793.5307,   0.2070,   3.6224,  23.1745,  95.3301, 118.5045,   0.0395,   0.0019,   0.0321,   0.0394,   0.0586,   0.0355,  21.2410,   0.0953,   0.5845,   0.9849,   0.1674,   0.1014,    0.015,    0.124,    3.484,    1.477,    6.579,   87.098,    0.1759,    0.0000,    3.1435,    3.1393,    1.2429,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    8,   0.0902,   0.2382,   0.1359,   0.0571,   0.1297, 954.8821, 799.9575,  32.9067, 100.3799, 821.5860,   0.2279,   3.5507,  24.9690,  93.5338, 118.5028,   0.0487,   0.0029,   0.0333,   0.0412,   0.0633,   0.0384,  22.8952,   0.1459,   0.6074,   1.0301,   0.1808,   0.1096,    0.015,    0.123,    3.413,    1.478,    6.574,   85.319,    0.1637,    0.0000,    3.5478,    3.5356,    1.2898,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    9,   0.0937,   0.2490,   0.1441,   0.0610,   0.1338,1027.1952, 798.0919,  39.6814, 106.1131, 883.2736,   0.2501,   3.4777,  26.7953,  91.7088, 118.5041,   0.0585,   0.0040,   0.0349,   0.0430,   0.0684,   0.0414,  24.5719,   0.1996,   0.6349,   1.0753,   0.1953,   0.1184,    0.015,    0.123,    3.340,    1.470,    6.573,   83.506,    0.1589,    0.0000,    3.6763,    3.6714,    1.3505,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
   10,   0.0971,   0.2568,   0.1386,   0.0596,   0.1157,1082.7830, 799.9461,  31.2187,  93.0626, 956.6547,   0.2654,   3.4258,  27.9818,  90.5189, 118.5007,   0.0623,   0.0051,   0.0360,   0.0439,   0.0736,   0.0446,  25.6387,   0.2542,   0.6548,   1.0965,   0.2102,   0.1274,    0.015,    0.130,    3.281,    1.474,    6.872,   82.018,    0.1548,    0.0000,    3.1309,    3.1268,    1.4086,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
